record_id,primary_name,reviewed_name_to_smiles,primary_name_structure_inchi,frozen_inchi,exact_match,rdkit_version
rdr250199#csvline6924,Toluene,Cc1ccccc1,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3","InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",True,2025.09.6
rdr250199#csvline7534,Di-isopropyl ketone,CC(C)C(=O)C(C)C,"InChI=1S/C7H14O/c1-5(2)7(8)6(3)4/h5-6H,1-4H3","InChI=1S/C7H14O/c1-5(2)7(8)6(3)4/h5-6H,1-4H3",True,2025.09.6
rdr250199#csvline7867,Heptylamine,CCCCCCCN,"InChI=1S/C7H17N/c1-2-3-4-5-6-7-8/h2-8H2,1H3","InChI=1S/C7H17N/c1-2-3-4-5-6-7-8/h2-8H2,1H3",True,2025.09.6
rdr250199#csvline8244,o-Xylene,Cc1ccccc1C,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3","InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",True,2025.09.6
rdr250199#csvline8257,m-Xylene,Cc1cccc(C)c1,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3","InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",True,2025.09.6
rdr250199#csvline8284,p-Xylene,Cc1ccc(C)cc1,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",True,2025.09.6
rdr250199#csvline8303,Ethylbenzene (pure),CCc1ccccc1,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3","InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",True,2025.09.6
rdr250199#csvline860,"RCN, R=CH3",CC#N,InChI=1S/C2H3N/c1-2-3/h1H3,InChI=1S/C2H3N/c1-2-3/h1H3,True,2025.09.6
rdr250199#csvline8700,Ethylcyclohexane,CCC1CCCCC1,"InChI=1S/C8H16/c1-2-8-6-4-3-5-7-8/h8H,2-7H2,1H3","InChI=1S/C8H16/c1-2-8-6-4-3-5-7-8/h8H,2-7H2,1H3",True,2025.09.6
rdr250199#csvline8926,BuOCH2CH2OAc (2-butoxyethyl acetate),CCCCOCCOC(C)=O,"InChI=1S/C8H16O3/c1-3-4-5-10-6-7-11-8(2)9/h3-7H2,1-2H3","InChI=1S/C8H16O3/c1-3-4-5-10-6-7-11-8(2)9/h3-7H2,1-2H3",True,2025.09.6
rdr250199#csvline9038,n-Octane,CCCCCCCC,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3","InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",True,2025.09.6
rdr250199#csvline9070,"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",True,2025.09.6
rdr250199#csvline933,"X(CH2)2X, X=Cl",ClCCCl,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,True,2025.09.6
rdr250199#csvline9607,"1,2,4-Trimethylbenzene",Cc1ccc(C)c(C)c1,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3","InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3",True,2025.09.6
