reference_code,records,molecules,train_molecules,record_ids_json,review_status,required_evidence
1973SVO/VES,32,6,6,"[""rdr250199#csvline1897"",""rdr250199#csvline1898"",""rdr250199#csvline1899"",""rdr250199#csvline1900"",""rdr250199#csvline1901"",""rdr250199#csvline1902"",""rdr250199#csvline3064"",""rdr250199#csvline3065"",""rdr250199#csvline3066"",""rdr250199#csvline3067"",""rdr250199#csvline391"",""rdr250199#csvline392"",""rdr250199#csvline393"",""rdr250199#csvline394"",""rdr250199#csvline395"",""rdr250199#csvline396"",""rdr250199#csvline5062"",""rdr250199#csvline5063"",""rdr250199#csvline5064"",""rdr250199#csvline5065"",""rdr250199#csvline5066"",""rdr250199#csvline5067"",""rdr250199#csvline5326"",""rdr250199#csvline5327"",""rdr250199#csvline5328"",""rdr250199#csvline5329"",""rdr250199#csvline5330"",""rdr250199#csvline5554"",""rdr250199#csvline5555"",""rdr250199#csvline5556"",""rdr250199#csvline5557"",""rdr250199#csvline5558""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1979MAJ/SVO,26,6,6,"[""rdr250199#csvline5548"",""rdr250199#csvline5549"",""rdr250199#csvline5550"",""rdr250199#csvline5551"",""rdr250199#csvline5552"",""rdr250199#csvline5553"",""rdr250199#csvline6029"",""rdr250199#csvline6030"",""rdr250199#csvline6031"",""rdr250199#csvline6032"",""rdr250199#csvline7360"",""rdr250199#csvline7361"",""rdr250199#csvline7362"",""rdr250199#csvline7363"",""rdr250199#csvline7676"",""rdr250199#csvline7677"",""rdr250199#csvline7678"",""rdr250199#csvline7679"",""rdr250199#csvline9028"",""rdr250199#csvline9029"",""rdr250199#csvline9030"",""rdr250199#csvline9031"",""rdr250199#csvline9064"",""rdr250199#csvline9065"",""rdr250199#csvline9066"",""rdr250199#csvline9067""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1980MAJ/SVA,24,5,5,"[""rdr250199#csvline516"",""rdr250199#csvline517"",""rdr250199#csvline518"",""rdr250199#csvline519"",""rdr250199#csvline520"",""rdr250199#csvline739"",""rdr250199#csvline740"",""rdr250199#csvline741"",""rdr250199#csvline742"",""rdr250199#csvline796"",""rdr250199#csvline797"",""rdr250199#csvline798"",""rdr250199#csvline799"",""rdr250199#csvline800"",""rdr250199#csvline87"",""rdr250199#csvline88"",""rdr250199#csvline89"",""rdr250199#csvline90"",""rdr250199#csvline91"",""rdr250199#csvline927"",""rdr250199#csvline928"",""rdr250199#csvline929"",""rdr250199#csvline930"",""rdr250199#csvline931""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1980SVO/UCH,15,5,5,"[""rdr250199#csvline2764"",""rdr250199#csvline2765"",""rdr250199#csvline2766"",""rdr250199#csvline4059"",""rdr250199#csvline4060"",""rdr250199#csvline4061"",""rdr250199#csvline4076"",""rdr250199#csvline4077"",""rdr250199#csvline4120"",""rdr250199#csvline4121"",""rdr250199#csvline4122"",""rdr250199#csvline5821"",""rdr250199#csvline5822"",""rdr250199#csvline5823"",""rdr250199#csvline5824""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1985MAJ/SVO2,21,5,5,"[""rdr250199#csvline4401"",""rdr250199#csvline4402"",""rdr250199#csvline4403"",""rdr250199#csvline4404"",""rdr250199#csvline4454"",""rdr250199#csvline4455"",""rdr250199#csvline4456"",""rdr250199#csvline4457"",""rdr250199#csvline4458"",""rdr250199#csvline4459"",""rdr250199#csvline4468"",""rdr250199#csvline4469"",""rdr250199#csvline4470"",""rdr250199#csvline4471"",""rdr250199#csvline4472"",""rdr250199#csvline7095"",""rdr250199#csvline7096"",""rdr250199#csvline7097"",""rdr250199#csvline7118"",""rdr250199#csvline7119"",""rdr250199#csvline7120""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1996VIT/CHA,19,5,5,"[""rdr250199#csvline11044"",""rdr250199#csvline11045"",""rdr250199#csvline11046"",""rdr250199#csvline11047"",""rdr250199#csvline11599"",""rdr250199#csvline11600"",""rdr250199#csvline11601"",""rdr250199#csvline11602"",""rdr250199#csvline11603"",""rdr250199#csvline12349"",""rdr250199#csvline12350"",""rdr250199#csvline12351"",""rdr250199#csvline13141"",""rdr250199#csvline13142"",""rdr250199#csvline13143"",""rdr250199#csvline13144"",""rdr250199#csvline13145"",""rdr250199#csvline9994"",""rdr250199#csvline9995""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1963MOR/SUN,4,4,4,"[""rdr250199#csvline11063"",""rdr250199#csvline12363"",""rdr250199#csvline13156"",""rdr250199#csvline9034""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1968PLA/WIL,4,4,4,"[""rdr250199#csvline3764"",""rdr250199#csvline3984"",""rdr250199#csvline5394"",""rdr250199#csvline5703""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1973GEI/QUI,4,4,4,"[""rdr250199#csvline2688"",""rdr250199#csvline4087"",""rdr250199#csvline4129"",""rdr250199#csvline5783""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1977STRI/SUN,4,4,4,"[""rdr250199#csvline11490"",""rdr250199#csvline12241"",""rdr250199#csvline13059"",""rdr250199#csvline8620""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1983UCH/MAJ,4,4,4,"[""rdr250199#csvline2682"",""rdr250199#csvline3996"",""rdr250199#csvline4022"",""rdr250199#csvline5781""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1989VOR/KLY,4,4,4,"[""rdr250199#csvline1196"",""rdr250199#csvline1218"",""rdr250199#csvline3309"",""rdr250199#csvline3333""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1901KAH,3,3,3,"[""rdr250199#csvline3856"",""rdr250199#csvline4586"",""rdr250199#csvline6436""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1967HAL/LEE,10,3,3,"[""rdr250199#csvline4000"",""rdr250199#csvline4001"",""rdr250199#csvline4002"",""rdr250199#csvline4026"",""rdr250199#csvline4027"",""rdr250199#csvline4028"",""rdr250199#csvline6947"",""rdr250199#csvline6948"",""rdr250199#csvline6949"",""rdr250199#csvline6950""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1970COU/FEN,10,3,3,"[""rdr250199#csvline1149"",""rdr250199#csvline1150"",""rdr250199#csvline1151"",""rdr250199#csvline3135"",""rdr250199#csvline3136"",""rdr250199#csvline3137"",""rdr250199#csvline4407"",""rdr250199#csvline4408"",""rdr250199#csvline4409"",""rdr250199#csvline4410""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1970HOW/WAD,4,3,3,"[""rdr250199#csvline1561"",""rdr250199#csvline3852"",""rdr250199#csvline860"",""rdr250199#csvline864""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1971KUS/WAD,3,3,3,"[""rdr250199#csvline1960"",""rdr250199#csvline3256"",""rdr250199#csvline4493""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1975FEN/HAR,3,3,3,"[""rdr250199#csvline4354"",""rdr250199#csvline4384"",""rdr250199#csvline6945""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1977SVO/VES,13,3,3,"[""rdr250199#csvline2767"",""rdr250199#csvline2768"",""rdr250199#csvline2769"",""rdr250199#csvline2770"",""rdr250199#csvline2771"",""rdr250199#csvline4078"",""rdr250199#csvline4079"",""rdr250199#csvline4080"",""rdr250199#csvline4081"",""rdr250199#csvline4123"",""rdr250199#csvline4124"",""rdr250199#csvline4125"",""rdr250199#csvline4126""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1979MAJ/SVO2,13,3,3,"[""rdr250199#csvline3348"",""rdr250199#csvline3349"",""rdr250199#csvline3350"",""rdr250199#csvline3351"",""rdr250199#csvline3352"",""rdr250199#csvline5973"",""rdr250199#csvline5974"",""rdr250199#csvline5975"",""rdr250199#csvline6444"",""rdr250199#csvline6445"",""rdr250199#csvline6446"",""rdr250199#csvline6447"",""rdr250199#csvline6448""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1979SUN/SVE2,3,3,3,"[""rdr250199#csvline2684"",""rdr250199#csvline4106"",""rdr250199#csvline7519""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1981HOS/SCO3,18,3,3,"[""rdr250199#csvline8273"",""rdr250199#csvline8274"",""rdr250199#csvline8275"",""rdr250199#csvline8276"",""rdr250199#csvline8277"",""rdr250199#csvline8278"",""rdr250199#csvline8296"",""rdr250199#csvline8297"",""rdr250199#csvline8298"",""rdr250199#csvline8299"",""rdr250199#csvline8300"",""rdr250199#csvline8301"",""rdr250199#csvline9409"",""rdr250199#csvline9410"",""rdr250199#csvline9411"",""rdr250199#csvline9412"",""rdr250199#csvline9413"",""rdr250199#csvline9414""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1981TEK/MAJ,17,3,3,"[""rdr250199#csvline2893"",""rdr250199#csvline2894"",""rdr250199#csvline2895"",""rdr250199#csvline2896"",""rdr250199#csvline2897"",""rdr250199#csvline2898"",""rdr250199#csvline4206"",""rdr250199#csvline4207"",""rdr250199#csvline4208"",""rdr250199#csvline4209"",""rdr250199#csvline4210"",""rdr250199#csvline4211"",""rdr250199#csvline5946"",""rdr250199#csvline5947"",""rdr250199#csvline5948"",""rdr250199#csvline5949"",""rdr250199#csvline5950""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1982FUR/SAK,3,3,3,"[""rdr250199#csvline11059"",""rdr250199#csvline5546"",""rdr250199#csvline8422""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1982SVO/CHA,14,3,3,"[""rdr250199#csvline8293"",""rdr250199#csvline8294"",""rdr250199#csvline8295"",""rdr250199#csvline8723"",""rdr250199#csvline8724"",""rdr250199#csvline8725"",""rdr250199#csvline8726"",""rdr250199#csvline8727"",""rdr250199#csvline9058"",""rdr250199#csvline9059"",""rdr250199#csvline9060"",""rdr250199#csvline9061"",""rdr250199#csvline9062"",""rdr250199#csvline9063""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1985KUS,3,3,3,"[""rdr250199#csvline1220"",""rdr250199#csvline3335"",""rdr250199#csvline3346""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1988DON/LIN,15,3,3,"[""rdr250199#csvline1130"",""rdr250199#csvline1131"",""rdr250199#csvline1132"",""rdr250199#csvline1133"",""rdr250199#csvline1134"",""rdr250199#csvline5047"",""rdr250199#csvline5048"",""rdr250199#csvline5049"",""rdr250199#csvline5050"",""rdr250199#csvline5051"",""rdr250199#csvline5052"",""rdr250199#csvline5538"",""rdr250199#csvline5539"",""rdr250199#csvline5540"",""rdr250199#csvline5541""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1988KNA/SAB,3,3,3,"[""rdr250199#csvline1176"",""rdr250199#csvline1999"",""rdr250199#csvline3228""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1989AN/HU,3,3,3,"[""rdr250199#csvline1639"",""rdr250199#csvline2647"",""rdr250199#csvline921""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1990KNA/SAB2,3,3,3,"[""rdr250199#csvline1176"",""rdr250199#csvline1999"",""rdr250199#csvline3228""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2007PAS/KUZ,3,3,3,"[""rdr250199#csvline11597"",""rdr250199#csvline6012"",""rdr250199#csvline9993""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2014VER/EME,3,3,3,"[""rdr250199#csvline4955"",""rdr250199#csvline6784"",""rdr250199#csvline6798""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1901KAH2,2,2,2,"[""rdr250199#csvline3602"",""rdr250199#csvline866""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1940PIT,2,2,2,"[""rdr250199#csvline7689"",""rdr250199#csvline9072""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1970KUS/WAD,2,2,2,"[""rdr250199#csvline4156"",""rdr250199#csvline8926""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1972LAY/WAD,2,2,2,"[""rdr250199#csvline745"",""rdr250199#csvline807""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1972MOR,2,2,2,"[""rdr250199#csvline11889"",""rdr250199#csvline12571""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1972MOR2,2,2,2,"[""rdr250199#csvline12361"",""rdr250199#csvline13154""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1973COU/LEE,5,2,2,"[""rdr250199#csvline397"",""rdr250199#csvline398"",""rdr250199#csvline399"",""rdr250199#csvline400"",""rdr250199#csvline4153""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1981HOS/SCO,2,2,2,"[""rdr250199#csvline2723"",""rdr250199#csvline4650""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1982FUC/PEA,2,2,2,"[""rdr250199#csvline3062"",""rdr250199#csvline9120""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1984MAJ/SVO,9,2,2,"[""rdr250199#csvline3125"",""rdr250199#csvline3126"",""rdr250199#csvline3127"",""rdr250199#csvline3128"",""rdr250199#csvline3155"",""rdr250199#csvline3156"",""rdr250199#csvline3157"",""rdr250199#csvline3158"",""rdr250199#csvline3159""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1985NAT/VIS,7,2,2,"[""rdr250199#csvline6908"",""rdr250199#csvline6909"",""rdr250199#csvline6910"",""rdr250199#csvline6911"",""rdr250199#csvline8268"",""rdr250199#csvline8269"",""rdr250199#csvline8270""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1992SVO/KUB,11,2,2,"[""rdr250199#csvline5380"",""rdr250199#csvline5381"",""rdr250199#csvline5382"",""rdr250199#csvline5383"",""rdr250199#csvline5384"",""rdr250199#csvline5385"",""rdr250199#csvline5386"",""rdr250199#csvline5774"",""rdr250199#csvline5775"",""rdr250199#csvline5776"",""rdr250199#csvline5777""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1996VAR/PAS,2,2,2,"[""rdr250199#csvline6013"",""rdr250199#csvline9996""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2007RIB/FRE,2,2,2,"[""rdr250199#csvline6880"",""rdr250199#csvline6883""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2010RIB/AMA,2,2,2,"[""rdr250199#csvline3629"",""rdr250199#csvline5146""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
2012SAM/NAZ,2,2,2,"[""rdr250199#csvline4070"",""rdr250199#csvline7562""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1923AWB/GRI,1,1,1,"[""rdr250199#csvline5185""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1930PHI/WAT,1,1,1,"[""rdr250199#csvline349""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1931FIO/GIN,2,1,1,"[""rdr250199#csvline5084"",""rdr250199#csvline5085""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1931MAT/FEH,2,1,1,"[""rdr250199#csvline7132"",""rdr250199#csvline7133""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1941PIT/GWI,1,1,1,"[""rdr250199#csvline347""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1943AST/SZA,1,1,1,"[""rdr250199#csvline5571""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1943LEM/FEL,4,1,1,"[""rdr250199#csvline6040"",""rdr250199#csvline6041"",""rdr250199#csvline6042"",""rdr250199#csvline6043""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1944RUB/LEV,1,1,1,"[""rdr250199#csvline810""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1947JON/GIA,1,1,1,"[""rdr250199#csvline346""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1947SCO/WAD,4,1,1,"[""rdr250199#csvline5076"",""rdr250199#csvline5077"",""rdr250199#csvline5078"",""rdr250199#csvline5079""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1947WAD/DOU,2,1,1,"[""rdr250199#csvline6036"",""rdr250199#csvline6037""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1947WAD/TOD,2,1,1,"[""rdr250199#csvline7685"",""rdr250199#csvline7686""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1949WAD/KNO,3,1,1,"[""rdr250199#csvline2303"",""rdr250199#csvline2304"",""rdr250199#csvline2305""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1950IWA,1,1,1,"[""rdr250199#csvline864""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1951BAR/MCC,1,1,1,"[""rdr250199#csvline10251""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1951MCC/PER,2,1,1,"[""rdr250199#csvline5566"",""rdr250199#csvline5567""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1952SCO/FIN,3,1,1,"[""rdr250199#csvline3313"",""rdr250199#csvline3314"",""rdr250199#csvline3315""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1952SCO/FIN2,2,1,1,"[""rdr250199#csvline3339"",""rdr250199#csvline3340""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1954MCC/SCO,4,1,1,"[""rdr250199#csvline341"",""rdr250199#csvline342"",""rdr250199#csvline343"",""rdr250199#csvline344""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1956SCO/MCC2,4,1,1,"[""rdr250199#csvline4994"",""rdr250199#csvline4995"",""rdr250199#csvline4996"",""rdr250199#csvline4997""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1957MCC/DOU,3,1,1,"[""rdr250199#csvline3594"",""rdr250199#csvline3595"",""rdr250199#csvline3596""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1957MCC/HUB,3,1,1,"[""rdr250199#csvline1203"",""rdr250199#csvline1204"",""rdr250199#csvline1205""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1958HUB/DOU,3,1,1,"[""rdr250199#csvline1223"",""rdr250199#csvline1224"",""rdr250199#csvline1225""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1959MCC/DOU,3,1,1,"[""rdr250199#csvline2946"",""rdr250199#csvline2947"",""rdr250199#csvline2948""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1960AIH,1,1,1,"[""rdr250199#csvline524""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1960MCK/SAG,3,1,1,"[""rdr250199#csvline9035"",""rdr250199#csvline9036"",""rdr250199#csvline9037""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1960WAD,1,1,1,"[""rdr250199#csvline5565""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
