episode_id,molecule_id,component_id,split,source_doi,series_id,pressure_ceiling_Pa,T_min_K,T_max_K,T_span_K,temperature_levels,warm_levels,cold_levels,episode_eligible,anchor_record_ids_json,cold_target_record_ids_json,anchor_count,cold_record_count,cold_temperature_level_count
ep_0371adfb293324d3,mol_1ca87a53bf4e35a9,grp_c50732a0f7207397,train,10.1016/j.fluid.2015.07.031,10.1016/j.fluid.2015.07.031#d5#p1,5000,293.16,362.975,69.815,15,5,5,True,"[""10.1016/j.fluid.2015.07.031#d5#p1#r31"",""10.1016/j.fluid.2015.07.031#d5#p1#r37"",""10.1016/j.fluid.2015.07.031#d5#p1#r43""]","[""10.1016/j.fluid.2015.07.031#d5#p1#r1"",""10.1016/j.fluid.2015.07.031#d5#p1#r10"",""10.1016/j.fluid.2015.07.031#d5#p1#r11"",""10.1016/j.fluid.2015.07.031#d5#p1#r12"",""10.1016/j.fluid.2015.07.031#d5#p1#r13"",""10.1016/j.fluid.2015.07.031#d5#p1#r14"",""10.1016/j.fluid.2015.07.031#d5#p1#r15"",""10.1016/j.fluid.2015.07.031#d5#p1#r2"",""10.1016/j.fluid.2015.07.031#d5#p1#r3"",""10.1016/j.fluid.2015.07.031#d5#p1#r4"",""10.1016/j.fluid.2015.07.031#d5#p1#r5"",""10.1016/j.fluid.2015.07.031#d5#p1#r58"",""10.1016/j.fluid.2015.07.031#d5#p1#r6"",""10.1016/j.fluid.2015.07.031#d5#p1#r60"",""10.1016/j.fluid.2015.07.031#d5#p1#r61"",""10.1016/j.fluid.2015.07.031#d5#p1#r62"",""10.1016/j.fluid.2015.07.031#d5#p1#r63"",""10.1016/j.fluid.2015.07.031#d5#p1#r64"",""10.1016/j.fluid.2015.07.031#d5#p1#r65"",""10.1016/j.fluid.2015.07.031#d5#p1#r66"",""10.1016/j.fluid.2015.07.031#d5#p1#r67"",""10.1016/j.fluid.2015.07.031#d5#p1#r68"",""10.1016/j.fluid.2015.07.031#d5#p1#r69"",""10.1016/j.fluid.2015.07.031#d5#p1#r7"",""10.1016/j.fluid.2015.07.031#d5#p1#r8"",""10.1016/j.fluid.2015.07.031#d5#p1#r9""]",3,26,5
ep_042a2285160978e4,mol_89cd7dc23b3db594,grp_81cd87be3fde4550,test,10.1016/j.jct.2012.05.013,10.1016/j.jct.2012.05.013#d4#p1,5000,322.96,382.51,59.55,13,4,4,True,"[""10.1016/j.jct.2012.05.013#d4#p1#r10"",""10.1016/j.jct.2012.05.013#d4#p1#r11"",""10.1016/j.jct.2012.05.013#d4#p1#r13""]","[""10.1016/j.jct.2012.05.013#d4#p1#r1"",""10.1016/j.jct.2012.05.013#d4#p1#r2"",""10.1016/j.jct.2012.05.013#d4#p1#r3"",""10.1016/j.jct.2012.05.013#d4#p1#r4""]",3,4,4
ep_05891430cd17b077,mol_28ddefda28499c0d,grp_5ed1239f1de5ca2c,validation,10.1016/j.fluid.2016.11.010,10.1016/j.fluid.2016.11.010#d2#p1,5000,313.3,363,49.7,11,4,4,True,"[""10.1016/j.fluid.2016.11.010#d2#p1#r8"",""10.1016/j.fluid.2016.11.010#d2#p1#r9"",""10.1016/j.fluid.2016.11.010#d2#p1#r11""]","[""10.1016/j.fluid.2016.11.010#d2#p1#r1"",""10.1016/j.fluid.2016.11.010#d2#p1#r2"",""10.1016/j.fluid.2016.11.010#d2#p1#r3"",""10.1016/j.fluid.2016.11.010#d2#p1#r4""]",3,4,4
ep_0781cf3bc2fa0714,mol_77691d2337bfc619,grp_5dea7427c65d07c7,train,10.1021/je0255980,10.1021/je0255980#d11#p1,5000,278.3,314.2,35.9,13,4,4,True,"[""10.1021/je0255980#d11#p1#r10"",""10.1021/je0255980#d11#p1#r11"",""10.1021/je0255980#d11#p1#r13""]","[""10.1021/je0255980#d11#p1#r1"",""10.1021/je0255980#d11#p1#r2"",""10.1021/je0255980#d11#p1#r3"",""10.1021/je0255980#d11#p1#r4""]",3,4,4
ep_083069abe663822a,mol_85ab1c5001067375,grp_468c9a97902f6f3f,test,10.1016/j.fluid.2014.12.023,10.1016/j.fluid.2014.12.023#d4#p1,5000,275.8,316.5,40.7,14,4,4,True,"[""10.1016/j.fluid.2014.12.023#d4#p1#r11"",""10.1016/j.fluid.2014.12.023#d4#p1#r12"",""10.1016/j.fluid.2014.12.023#d4#p1#r14""]","[""10.1016/j.fluid.2014.12.023#d4#p1#r1"",""10.1016/j.fluid.2014.12.023#d4#p1#r2"",""10.1016/j.fluid.2014.12.023#d4#p1#r3"",""10.1016/j.fluid.2014.12.023#d4#p1#r4""]",3,4,4
ep_08f6e45b23ed82a8,mol_df36260e25a0f59a,grp_5dea7427c65d07c7,train,10.1016/j.jct.2011.08.009,10.1016/j.jct.2011.08.009#d3#p1,5000,273.15,323.97,50.82,12,4,4,True,"[""10.1016/j.jct.2011.08.009#d3#p1#r28"",""10.1016/j.jct.2011.08.009#d3#p1#r10"",""10.1016/j.jct.2011.08.009#d3#p1#r13""]","[""10.1016/j.jct.2011.08.009#d3#p1#r1"",""10.1016/j.jct.2011.08.009#d3#p1#r2"",""10.1016/j.jct.2011.08.009#d3#p1#r24"",""10.1016/j.jct.2011.08.009#d3#p1#r25""]",3,4,4
ep_090033870083705c,mol_919fb7158bc3ca7a,grp_4cb2ec77bd45a869,test,10.1016/j.jct.2005.11.009,10.1016/j.jct.2005.11.009#d4#p1,5000,327.3,363.8,36.5,9,3,3,True,"[""10.1016/j.jct.2005.11.009#d4#p1#r10"",""10.1016/j.jct.2005.11.009#d4#p1#r11"",""10.1016/j.jct.2005.11.009#d4#p1#r12""]","[""10.1016/j.jct.2005.11.009#d4#p1#r4"",""10.1016/j.jct.2005.11.009#d4#p1#r5"",""10.1016/j.jct.2005.11.009#d4#p1#r6""]",3,3,3
ep_09ece4a4462995e7,mol_30519df461efd318,grp_5dea7427c65d07c7,train,10.1016/j.jct.2004.08.004,10.1016/j.jct.2004.08.004#d8#p1,5000,327.2,369.2,42,15,5,5,True,"[""10.1016/j.jct.2004.08.004#d8#p1#r11"",""10.1016/j.jct.2004.08.004#d8#p1#r13"",""10.1016/j.jct.2004.08.004#d8#p1#r15""]","[""10.1016/j.jct.2004.08.004#d8#p1#r1"",""10.1016/j.jct.2004.08.004#d8#p1#r2"",""10.1016/j.jct.2004.08.004#d8#p1#r3"",""10.1016/j.jct.2004.08.004#d8#p1#r4"",""10.1016/j.jct.2004.08.004#d8#p1#r5""]",3,5,5
ep_0a63890ff82ff124,mol_c6ba72cee89a72d7,grp_a2fcc12936d735c8,train,10.1016/j.fluid.2019.112248,10.1016/j.fluid.2019.112248#d4#p1,5000,273.19,308.21,35.02,9,3,4,True,"[""10.1016/j.fluid.2019.112248#d4#p1#r28"",""10.1016/j.fluid.2019.112248#d4#p1#r31"",""10.1016/j.fluid.2019.112248#d4#p1#r34""]","[""10.1016/j.fluid.2019.112248#d4#p1#r10"",""10.1016/j.fluid.2019.112248#d4#p1#r12"",""10.1016/j.fluid.2019.112248#d4#p1#r13"",""10.1016/j.fluid.2019.112248#d4#p1#r14"",""10.1016/j.fluid.2019.112248#d4#p1#r15"",""10.1016/j.fluid.2019.112248#d4#p1#r16"",""10.1016/j.fluid.2019.112248#d4#p1#r17"",""10.1016/j.fluid.2019.112248#d4#p1#r18"",""10.1016/j.fluid.2019.112248#d4#p1#r19"",""10.1016/j.fluid.2019.112248#d4#p1#r20"",""10.1016/j.fluid.2019.112248#d4#p1#r21""]",3,11,4
ep_0b540b1c6f62ea4d,mol_218260d18d45a2c9,grp_218260d18d45a2c9,validation,10.1016/j.jct.2015.02.008,10.1016/j.jct.2015.02.008#d12#p1,5000,369.98,439.957,69.977,18,5,5,True,"[""10.1016/j.jct.2015.02.008#d12#p1#r14"",""10.1016/j.jct.2015.02.008#d12#p1#r16"",""10.1016/j.jct.2015.02.008#d12#p1#r18""]","[""10.1016/j.jct.2015.02.008#d12#p1#r1"",""10.1016/j.jct.2015.02.008#d12#p1#r2"",""10.1016/j.jct.2015.02.008#d12#p1#r3"",""10.1016/j.jct.2015.02.008#d12#p1#r4"",""10.1016/j.jct.2015.02.008#d12#p1#r5""]",3,5,5
ep_0b7815e1d220999e,mol_e53a559272965ffc,grp_e53a559272965ffc,train,10.1021/acs.jced.5b00978,10.1021/acs.jced.5b00978#d4#p1,5000,339.83,393.05,53.22,19,6,6,True,"[""10.1021/acs.jced.5b00978#d4#p1#r14"",""10.1021/acs.jced.5b00978#d4#p1#r16"",""10.1021/acs.jced.5b00978#d4#p1#r19""]","[""10.1021/acs.jced.5b00978#d4#p1#r1"",""10.1021/acs.jced.5b00978#d4#p1#r2"",""10.1021/acs.jced.5b00978#d4#p1#r3"",""10.1021/acs.jced.5b00978#d4#p1#r4"",""10.1021/acs.jced.5b00978#d4#p1#r5"",""10.1021/acs.jced.5b00978#d4#p1#r6""]",3,6,6
ep_0c0b9b378258746e,mol_c34973a2ea05dcee,grp_5dea7427c65d07c7,train,10.1016/j.jct.2009.09.003,10.1016/j.jct.2009.09.003#d4#p1,5000,295.7,338.1,42.4,20,7,7,True,"[""10.1016/j.jct.2009.09.003#d4#p1#r15"",""10.1016/j.jct.2009.09.003#d4#p1#r18"",""10.1016/j.jct.2009.09.003#d4#p1#r22""]","[""10.1016/j.jct.2009.09.003#d4#p1#r1"",""10.1016/j.jct.2009.09.003#d4#p1#r2"",""10.1016/j.jct.2009.09.003#d4#p1#r3"",""10.1016/j.jct.2009.09.003#d4#p1#r4"",""10.1016/j.jct.2009.09.003#d4#p1#r5"",""10.1016/j.jct.2009.09.003#d4#p1#r6"",""10.1016/j.jct.2009.09.003#d4#p1#r7"",""10.1016/j.jct.2009.09.003#d4#p1#r8""]",3,8,7
ep_0e11d2b71a233a7a,mol_6a2881146cb0a319,grp_5dea7427c65d07c7,train,10.1016/j.tca.2017.12.006,10.1016/j.tca.2017.12.006#d3#p1,5000,298.2,347.8,49.6,11,3,4,True,"[""10.1016/j.tca.2017.12.006#d3#p1#r9"",""10.1016/j.tca.2017.12.006#d3#p1#r10"",""10.1016/j.tca.2017.12.006#d3#p1#r11""]","[""10.1016/j.tca.2017.12.006#d3#p1#r1"",""10.1016/j.tca.2017.12.006#d3#p1#r2"",""10.1016/j.tca.2017.12.006#d3#p1#r3"",""10.1016/j.tca.2017.12.006#d3#p1#r4""]",3,4,4
ep_0f37fa6f9ea983f6,mol_3590edb9884753b9,grp_5dea7427c65d07c7,train,10.1021/je9004905,10.1021/je9004905#d1#p1,5000,307.7,384.5,76.8,15,3,7,True,"[""10.1021/je9004905#d1#p1#r13"",""10.1021/je9004905#d1#p1#r14"",""10.1021/je9004905#d1#p1#r15""]","[""10.1021/je9004905#d1#p1#r1"",""10.1021/je9004905#d1#p1#r2"",""10.1021/je9004905#d1#p1#r3"",""10.1021/je9004905#d1#p1#r4"",""10.1021/je9004905#d1#p1#r5"",""10.1021/je9004905#d1#p1#r6"",""10.1021/je9004905#d1#p1#r7""]",3,7,7
ep_0f3efeb8aaebdc35,mol_b29c79d05f29858b,grp_5dea7427c65d07c7,train,10.1016/j.jct.2004.08.004,10.1016/j.jct.2004.08.004#d7#p1,5000,318.1,363.2,45.1,15,5,4,True,"[""10.1016/j.jct.2004.08.004#d7#p1#r13"",""10.1016/j.jct.2004.08.004#d7#p1#r15"",""10.1016/j.jct.2004.08.004#d7#p1#r17""]","[""10.1016/j.jct.2004.08.004#d7#p1#r3"",""10.1016/j.jct.2004.08.004#d7#p1#r4"",""10.1016/j.jct.2004.08.004#d7#p1#r5"",""10.1016/j.jct.2004.08.004#d7#p1#r6""]",3,4,4
ep_0f682129d409104b,mol_6b591adbd02d1012,grp_fe68aa4179fd65d6,test,10.1016/j.jct.2013.11.003,10.1016/j.jct.2013.11.003#d2#p1,5000,278.1,324.7,46.6,17,5,5,True,"[""10.1016/j.jct.2013.11.003#d2#p1#r13"",""10.1016/j.jct.2013.11.003#d2#p1#r15"",""10.1016/j.jct.2013.11.003#d2#p1#r17""]","[""10.1016/j.jct.2013.11.003#d2#p1#r1"",""10.1016/j.jct.2013.11.003#d2#p1#r2"",""10.1016/j.jct.2013.11.003#d2#p1#r3"",""10.1016/j.jct.2013.11.003#d2#p1#r4"",""10.1016/j.jct.2013.11.003#d2#p1#r5""]",3,5,5
ep_10e0d0ded63222ba,mol_2ebd0ef54ed8a046,grp_642c5927dec37b59,validation,10.1016/j.fluid.2011.07.007,10.1016/j.fluid.2011.07.007#d4#p1,5000,289.3,325.4,36.1,17,8,4,True,"[""10.1016/j.fluid.2011.07.007#d4#p1#r10"",""10.1016/j.fluid.2011.07.007#d4#p1#r13"",""10.1016/j.fluid.2011.07.007#d4#p1#r17""]","[""10.1016/j.fluid.2011.07.007#d4#p1#r1"",""10.1016/j.fluid.2011.07.007#d4#p1#r2"",""10.1016/j.fluid.2011.07.007#d4#p1#r3"",""10.1016/j.fluid.2011.07.007#d4#p1#r4""]",3,4,4
ep_1116c11bfa00721e,mol_d5352051e8c4f61f,grp_95988f9c4708b4b0,test,10.1016/j.fluid.2006.09.001,10.1016/j.fluid.2006.09.001#d3#p1,5000,302.4,368.4,66,21,8,6,True,"[""10.1016/j.fluid.2006.09.001#d3#p1#r15"",""10.1016/j.fluid.2006.09.001#d3#p1#r18"",""10.1016/j.fluid.2006.09.001#d3#p1#r22""]","[""10.1016/j.fluid.2006.09.001#d3#p1#r1"",""10.1016/j.fluid.2006.09.001#d3#p1#r2"",""10.1016/j.fluid.2006.09.001#d3#p1#r3"",""10.1016/j.fluid.2006.09.001#d3#p1#r4"",""10.1016/j.fluid.2006.09.001#d3#p1#r5"",""10.1016/j.fluid.2006.09.001#d3#p1#r6"",""10.1016/j.fluid.2006.09.001#d3#p1#r7""]",3,7,6
ep_1331f978cbf99096,mol_ce50f4cf8290e782,grp_5dea7427c65d07c7,train,10.1021/je9004905,10.1021/je9004905#d3#p1,5000,295.85,355.98,60.13,15,6,3,True,"[""10.1021/je9004905#d3#p1#r10"",""10.1021/je9004905#d3#p1#r12"",""10.1021/je9004905#d3#p1#r15""]","[""10.1021/je9004905#d3#p1#r1"",""10.1021/je9004905#d3#p1#r2"",""10.1021/je9004905#d3#p1#r3""]",3,3,3
ep_13b15eda6343b52a,mol_1d734fe5c679e7dc,grp_5085cd785cc4c7f4,test,10.1021/je060429r,10.1021/je060429r#d18#p1,5000,342.8,375.4,32.6,29,7,10,True,"[""10.1021/je060429r#d18#p1#r24"",""10.1021/je060429r#d18#p1#r27"",""10.1021/je060429r#d18#p1#r31""]","[""10.1021/je060429r#d18#p1#r1"",""10.1021/je060429r#d18#p1#r10"",""10.1021/je060429r#d18#p1#r2"",""10.1021/je060429r#d18#p1#r3"",""10.1021/je060429r#d18#p1#r4"",""10.1021/je060429r#d18#p1#r5"",""10.1021/je060429r#d18#p1#r6"",""10.1021/je060429r#d18#p1#r7"",""10.1021/je060429r#d18#p1#r8"",""10.1021/je060429r#d18#p1#r9""]",3,10,10
ep_13e602163b407b1d,mol_9250348909aba0f8,grp_5dea7427c65d07c7,train,10.1016/j.fluid.2014.07.029,10.1016/j.fluid.2014.07.029#d5#p1,5000,274.2,306.2,32,12,4,4,True,"[""10.1016/j.fluid.2014.07.029#d5#p1#r10"",""10.1016/j.fluid.2014.07.029#d5#p1#r12"",""10.1016/j.fluid.2014.07.029#d5#p1#r14""]","[""10.1016/j.fluid.2014.07.029#d5#p1#r1"",""10.1016/j.fluid.2014.07.029#d5#p1#r2"",""10.1016/j.fluid.2014.07.029#d5#p1#r3"",""10.1016/j.fluid.2014.07.029#d5#p1#r4""]",3,4,4
ep_14be4e3904a6ef9f,mol_f51711463f7a60d1,grp_eacde2a75ccb5ff9,train,10.1021/je060472e,10.1021/je060472e#d4#p1,5000,283.155,340.47,57.315,13,4,4,True,"[""10.1021/je060472e#d4#p1#r22"",""10.1021/je060472e#d4#p1#r24"",""10.1021/je060472e#d4#p1#r28""]","[""10.1021/je060472e#d4#p1#r10"",""10.1021/je060472e#d4#p1#r11"",""10.1021/je060472e#d4#p1#r12"",""10.1021/je060472e#d4#p1#r5"",""10.1021/je060472e#d4#p1#r6"",""10.1021/je060472e#d4#p1#r7"",""10.1021/je060472e#d4#p1#r8"",""10.1021/je060472e#d4#p1#r9""]",3,8,4
ep_162d6c960a26ed50,mol_047b0590b532ef16,grp_4099771604350c09,test,10.1021/je200336c,10.1021/je200336c#d2#p1,5000,293.6,343,49.4,24,7,7,True,"[""10.1021/je200336c#d2#p1#r19"",""10.1021/je200336c#d2#p1#r22"",""10.1021/je200336c#d2#p1#r26""]","[""10.1021/je200336c#d2#p1#r1"",""10.1021/je200336c#d2#p1#r2"",""10.1021/je200336c#d2#p1#r3"",""10.1021/je200336c#d2#p1#r4"",""10.1021/je200336c#d2#p1#r5"",""10.1021/je200336c#d2#p1#r6"",""10.1021/je200336c#d2#p1#r7""]",3,7,7
ep_16ce850bc7fcd92e,mol_71d239be146a61dd,grp_5dea7427c65d07c7,train,10.1016/j.jct.2019.01.007,10.1016/j.jct.2019.01.007#d6#p1,5000,313.35,355.15,41.8,18,6,6,True,"[""10.1016/j.jct.2019.01.007#d6#p1#r4"",""10.1016/j.jct.2019.01.007#d6#p1#r3"",""10.1016/j.jct.2019.01.007#d6#p1#r15""]","[""10.1016/j.jct.2019.01.007#d6#p1#r16"",""10.1016/j.jct.2019.01.007#d6#p1#r21"",""10.1016/j.jct.2019.01.007#d6#p1#r22"",""10.1016/j.jct.2019.01.007#d6#p1#r5"",""10.1016/j.jct.2019.01.007#d6#p1#r6"",""10.1016/j.jct.2019.01.007#d6#p1#r7""]",3,6,6
ep_17622885205483ec,mol_bace9c8b75de2210,grp_5dea7427c65d07c7,train,10.1016/j.jct.2016.07.024,10.1016/j.jct.2016.07.024#d5#p1,5000,332.4,452.25,119.85,13,4,4,True,"[""10.1016/j.jct.2016.07.024#d5#p1#r13"",""10.1016/j.jct.2016.07.024#d5#p1#r14"",""10.1016/j.jct.2016.07.024#d5#p1#r21""]","[""10.1016/j.jct.2016.07.024#d5#p1#r1"",""10.1016/j.jct.2016.07.024#d5#p1#r2"",""10.1016/j.jct.2016.07.024#d5#p1#r3"",""10.1016/j.jct.2016.07.024#d5#p1#r4"",""10.1016/j.jct.2016.07.024#d5#p1#r6""]",3,5,4
ep_1767a5f8b8d8be8a,mol_46c9766df0dc3e13,grp_5dea7427c65d07c7,train,10.1016/j.fluid.2014.07.029,10.1016/j.fluid.2014.07.029#d11#p1,5000,274.5,305.4,30.9,12,4,4,True,"[""10.1016/j.fluid.2014.07.029#d11#p1#r10"",""10.1016/j.fluid.2014.07.029#d11#p1#r11"",""10.1016/j.fluid.2014.07.029#d11#p1#r15""]","[""10.1016/j.fluid.2014.07.029#d11#p1#r1"",""10.1016/j.fluid.2014.07.029#d11#p1#r2"",""10.1016/j.fluid.2014.07.029#d11#p1#r3"",""10.1016/j.fluid.2014.07.029#d11#p1#r4""]",3,4,4
ep_1789c5077de5c021,mol_6558cfbdd9a3dcad,grp_9a6e5ce866866615,validation,10.1016/j.fluid.2012.08.020,10.1016/j.fluid.2012.08.020#d10#p1,5000,312.9,358.2,45.3,32,7,8,True,"[""10.1016/j.fluid.2012.08.020#d10#p1#r39"",""10.1016/j.fluid.2012.08.020#d10#p1#r46"",""10.1016/j.fluid.2012.08.020#d10#p1#r50""]","[""10.1016/j.fluid.2012.08.020#d10#p1#r10"",""10.1016/j.fluid.2012.08.020#d10#p1#r11"",""10.1016/j.fluid.2012.08.020#d10#p1#r12"",""10.1016/j.fluid.2012.08.020#d10#p1#r13"",""10.1016/j.fluid.2012.08.020#d10#p1#r14"",""10.1016/j.fluid.2012.08.020#d10#p1#r6"",""10.1016/j.fluid.2012.08.020#d10#p1#r7"",""10.1016/j.fluid.2012.08.020#d10#p1#r8"",""10.1016/j.fluid.2012.08.020#d10#p1#r9""]",3,9,8
ep_184179d548c956b7,mol_132e4cfc5e4bd727,grp_5dea7427c65d07c7,train,10.1016/j.jct.2016.07.024,10.1016/j.jct.2016.07.024#d6#p1,5000,372.35,452.65,80.3,9,3,3,True,"[""10.1016/j.jct.2016.07.024#d6#p1#r7"",""10.1016/j.jct.2016.07.024#d6#p1#r8"",""10.1016/j.jct.2016.07.024#d6#p1#r9""]","[""10.1016/j.jct.2016.07.024#d6#p1#r1"",""10.1016/j.jct.2016.07.024#d6#p1#r2"",""10.1016/j.jct.2016.07.024#d6#p1#r3""]",3,3,3
ep_1895d1952a23a9a6,mol_87af88bbbdeef674,grp_f74960087f7dfc07,validation,10.1016/j.jct.2012.05.003,10.1016/j.jct.2012.05.003#d10#p1,5000,368.125,483.11,114.985,13,4,4,True,"[""10.1016/j.jct.2012.05.003#d10#p1#r10"",""10.1016/j.jct.2012.05.003#d10#p1#r11"",""10.1016/j.jct.2012.05.003#d10#p1#r13""]","[""10.1016/j.jct.2012.05.003#d10#p1#r1"",""10.1016/j.jct.2012.05.003#d10#p1#r2"",""10.1016/j.jct.2012.05.003#d10#p1#r3"",""10.1016/j.jct.2012.05.003#d10#p1#r4""]",3,4,4
