series_id,molecule_id,inchi,source_doi,T_min_K,T_max_K,T_span_K,temperature_levels,warm_levels,cold_levels,episode_eligible,monotonicity_flag,monotonicity_used_to_select_series
10.1016/j.fluid.2005.02.015#d14#p1,mol_254632a1b45edabf,"InChI=1S/C7H14O3/c1-3-4-5-10-7(9)6(2)8/h6,8H,3-5H2,1-2H3/t6-/m0/s1",10.1016/j.fluid.2005.02.015,390,405,15,4,1,1,False,False,False
10.1016/j.fluid.2005.03.014#d5#p1,mol_7f19e9b39a1de529,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",10.1016/j.fluid.2005.03.014,345.45,370.69,25.24,7,2,2,False,False,False
10.1016/j.fluid.2005.03.016#d3#p1,mol_b4b87befe28d84ce,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",10.1016/j.fluid.2005.03.016,313.07,313.07,0,1,1,1,False,False,False
10.1016/j.fluid.2005.03.016#d4#p1,mol_83a135e5c50b66c1,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",10.1016/j.fluid.2005.03.016,313.11,313.11,0,1,1,1,False,False,False
10.1016/j.fluid.2005.03.016#d6#p1,mol_c30b4ae49b848357,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",10.1016/j.fluid.2005.03.016,313.08,313.08,0,1,1,1,False,False,False
10.1016/j.fluid.2005.05.003#d1#p1,mol_b44b37c017007981,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",10.1016/j.fluid.2005.05.003,333.15,333.15,0,1,1,1,False,False,False
10.1016/j.fluid.2005.05.003#d2#p1,mol_913f04ec4de50c29,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",10.1016/j.fluid.2005.05.003,333.15,343.15,10,2,1,1,False,False,False
10.1016/j.fluid.2005.05.003#d3#p1,mol_df36260e25a0f59a,"InChI=1S/C6H13N/c7-6-4-2-1-3-5-6/h6H,1-5,7H2",10.1016/j.fluid.2005.05.003,333.15,353.15,20,3,1,1,False,False,False
10.1016/j.fluid.2005.05.003#d5#p1,mol_046f2add717f4221,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",10.1016/j.fluid.2005.05.003,333.15,363.15,30,2,1,1,False,False,False
10.1016/j.fluid.2005.05.024#d6#p1,mol_301d3a83ae1e6ae0,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3",10.1016/j.fluid.2005.05.024,330,340,10,2,1,1,False,False,False
10.1016/j.fluid.2005.06.017#d1#p1,mol_496a55139eacec75,"InChI=1S/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3",10.1016/j.fluid.2005.06.017,333.15,373.15,40,3,1,1,False,False,False
10.1016/j.fluid.2005.06.019#d9#p1,mol_b8293313f61ea38f,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",10.1016/j.fluid.2005.06.019,356.39,384.925,28.535,7,3,2,False,False,False
10.1016/j.fluid.2005.07.008#d1#p1,mol_6dc54388549b234e,"InChI=1S/CH4O/c1-2/h2H,1H3",10.1016/j.fluid.2005.07.008,298.15,298.15,0,1,1,1,False,False,False
10.1016/j.fluid.2005.07.008#d2#p1,mol_b4b87befe28d84ce,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",10.1016/j.fluid.2005.07.008,298.15,313.15,15,4,1,1,False,False,False
10.1016/j.fluid.2005.07.008#d3#p1,mol_2465ec339bda2cbb,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",10.1016/j.fluid.2005.07.008,298.15,313.15,15,4,1,1,False,False,False
10.1016/j.fluid.2005.07.008#d4#p1,mol_b1820f534fb61402,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,10.1016/j.fluid.2005.07.008,298.15,308.15,10,3,1,1,False,False,False
10.1016/j.fluid.2005.09.011#d1#p1,mol_924b90bf9563cf86,"InChI=1S/C8H2F16/c9-1(10)3(13,14)5(17,18)7(21,22)8(23,24)6(19,20)4(15,16)2(11)12/h1-2H",10.1016/j.fluid.2005.09.011,289.31,333.14,43.83,10,3,3,True,False,False
10.1016/j.fluid.2005.09.015#d9#p1,mol_5acfd4736e755185,"InChI=1S/C7H14O2/c1-3-5-6-9-7(8)4-2/h3-6H2,1-2H3",10.1016/j.fluid.2005.09.015,351.45,364.68,13.23,5,2,2,False,False,False
10.1016/j.fluid.2005.10.024#d1#p1,mol_8477b7b46a4f3d7e,"InChI=1S/C6H14O/c1-5-6(2,3)7-4/h5H2,1-4H3",10.1016/j.fluid.2005.10.024,313.15,313.15,0,1,1,1,False,False,False
10.1016/j.fluid.2005.11.014#d2#p1,mol_2465ec339bda2cbb,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",10.1016/j.fluid.2005.11.014,313.15,313.15,0,1,1,1,False,False,False
10.1016/j.fluid.2005.11.016#d1#p1,mol_dee0d48887c32f73,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",10.1016/j.fluid.2005.11.016,263.15,353.15,90,10,3,3,True,False,False
10.1016/j.fluid.2005.11.016#d2#p1,mol_34651b4ffde1812d,"InChI=1S/C7H9N/c1-6-3-7(2)5-8-4-6/h3-5H,1-2H3",10.1016/j.fluid.2005.11.016,263.15,353.15,90,10,3,3,True,False,False
10.1016/j.fluid.2005.11.016#d3#p1,mol_b44b37c017007981,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",10.1016/j.fluid.2005.11.016,263.15,333.15,70,8,3,3,True,False,False
10.1016/j.fluid.2005.11.017#d3#p1,mol_8b6a2383c538f690,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",10.1016/j.fluid.2005.11.017,313.15,313.15,0,1,1,1,False,False,False
10.1016/j.fluid.2005.11.026#d1#p1,mol_6a1b88d7d4729d66,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",10.1016/j.fluid.2005.11.026,313.15,313.15,0,1,1,1,False,False,False
10.1016/j.fluid.2005.11.026#d3#p1,mol_b44b37c017007981,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",10.1016/j.fluid.2005.11.026,313.15,313.15,0,1,1,1,False,False,False
10.1016/j.fluid.2006.03.014#d1#p1,mol_baa3c342cb3d811f,"InChI=1S/C4H11NO/c1-4(2,5)3-6/h6H,3,5H2,1-2H3",10.1016/j.fluid.2006.03.014,373.25,393.05,19.8,4,2,1,False,False,False
10.1016/j.fluid.2006.06.013#d2#p1,mol_819a139398c7c5de,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3",10.1016/j.fluid.2006.06.013,417.59,486.11,68.52,8,3,3,True,False,False
10.1016/j.fluid.2006.06.017#d12#p1,mol_6a1b88d7d4729d66,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",10.1016/j.fluid.2006.06.017,346.03,363.51,17.48,5,2,2,False,False,False
10.1016/j.fluid.2006.06.017#d3#p1,mol_2465ec339bda2cbb,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",10.1016/j.fluid.2006.06.017,332.63,332.63,0,1,1,1,False,False,False
10.1016/j.fluid.2006.06.017#d6#p1,mol_670136e04246f1d5,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",10.1016/j.fluid.2006.06.017,351.18,351.18,0,1,1,1,False,False,False
10.1016/j.fluid.2006.06.017#d9#p1,mol_e82f68770fb0a3fb,"InChI=1S/C6H14O/c1-3-5-7-6-4-2/h3-6H2,1-2H3",10.1016/j.fluid.2006.06.017,302.6,317.33,14.73,6,3,2,False,False,False
10.1016/j.fluid.2006.07.007#d1#p1,mol_b4b87befe28d84ce,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",10.1016/j.fluid.2006.07.007,292.33,311.14,18.81,3,1,1,False,False,False
10.1016/j.fluid.2006.08.007#d1#p1,mol_992b64716911837c,"InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3",10.1016/j.fluid.2006.08.007,263.15,298.15,35,5,2,2,False,False,False
10.1016/j.fluid.2006.08.007#d2#p1,mol_896a74ad0b2a7fde,"InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",10.1016/j.fluid.2006.08.007,263.15,283.15,20,3,1,1,False,False,False
10.1016/j.fluid.2006.08.007#d3#p1,mol_542abc656d17b475,"InChI=1S/C6H10/c1-3-5-6-4-2/h3,5H2,1-2H3",10.1016/j.fluid.2006.08.007,263.15,313.15,50,7,3,2,True,False,False
10.1016/j.fluid.2006.09.001#d1#p1,mol_efa9f86fc8afad84,"InChI=1S/C13H19BrO4/c1-15-6-7-16-8-9-17-10-11-18-13-5-3-2-4-12(13)14/h2-5H,6-11H2,1H3",10.1016/j.fluid.2006.09.001,367.9,369.9,2,2,1,1,False,False,False
10.1016/j.fluid.2006.09.001#d2#p1,mol_a82c5379fe350441,"InChI=1S/C11H15BrO3/c1-13-6-7-14-8-9-15-11-5-3-2-4-10(11)12/h2-5H,6-9H2,1H3",10.1016/j.fluid.2006.09.001,339.1,373.5,34.4,21,5,7,True,False,False
10.1016/j.fluid.2006.09.001#d3#p1,mol_d5352051e8c4f61f,"InChI=1S/C9H11BrO2/c1-11-6-7-12-9-5-3-2-4-8(9)10/h2-5H,6-7H2,1H3",10.1016/j.fluid.2006.09.001,302.4,368.4,66,21,8,6,True,False,False
10.1016/j.fluid.2006.09.019#d1#p1,mol_96c0a38e580307f0,"InChI=1S/C3H6O3/c1-6-3(5)2-4/h4H,2H2,1H3",10.1016/j.fluid.2006.09.019,293.23,353.25,60.02,7,2,2,False,False,False
10.1016/j.fluid.2006.09.024#d1#p1,mol_7f16353bb5c6b431,"InChI=1S/C10H16/c1-2-9-7-4-5-8(6-7)10(9)3-1/h7-10H,1-6H2/t7-,8+,9-,10+",10.1016/j.fluid.2006.09.024,344.02,405.51,61.49,6,2,2,False,False,False
10.1016/j.fluid.2006.09.024#d2#p1,mol_f51a4721c0180b07,"InChI=1S/C10H16/c1-2-9-7-4-5-8(6-7)10(9)3-1/h7-10H,1-6H2/t7-,8+,9+,10-",10.1016/j.fluid.2006.09.024,335.45,400.07,64.62,6,2,2,False,False,False
10.1016/j.fluid.2006.10.024#d3#p1,mol_7663493163cbdca1,InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2,10.1016/j.fluid.2006.10.024,298.15,298.15,0,1,1,1,False,False,False
10.1016/j.fluid.2006.10.024#d5#p1,mol_953db3858ca974a4,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,10.1016/j.fluid.2006.10.024,298.15,328.15,30,3,1,1,False,False,False
10.1016/j.fluid.2006.10.024#d7#p1,mol_528932d2a9841ae7,"InChI=1S/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3",10.1016/j.fluid.2006.10.024,298.15,328.15,30,3,1,1,False,False,False
10.1016/j.fluid.2006.10.024#d9#p1,mol_ce86a4b54495b02c,InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2,10.1016/j.fluid.2006.10.024,298.15,313.15,15,2,1,1,False,False,False
10.1016/j.fluid.2007.03.017#d1#p1,mol_4e6567a0dc6bd494,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",10.1016/j.fluid.2007.03.017,263.75,293.29,29.54,4,1,1,False,False,False
10.1016/j.fluid.2007.03.017#d2#p1,mol_b44b37c017007981,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",10.1016/j.fluid.2007.03.017,263.75,333.22,69.47,8,3,3,True,False,False
10.1016/j.fluid.2007.03.017#d3#p1,mol_d40206d67276aa8c,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",10.1016/j.fluid.2007.03.017,263.75,343.18,79.43,9,3,3,True,False,False
10.1016/j.fluid.2007.03.030#d9#p1,mol_b482dd7c4a655efd,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",10.1016/j.fluid.2007.03.030,345.63,359.27,13.64,5,2,2,False,False,False
10.1016/j.fluid.2007.05.030#d2#p1,mol_8b1506317bbf83e8,"InChI=1S/C4H8O3/c1-4(6)7-3-2-5/h5H,2-3H2,1H3",10.1016/j.fluid.2007.05.030,363.15,403.66,40.51,3,1,2,False,False,False
10.1016/j.fluid.2007.05.030#d3#p1,mol_8b1506317bbf83e8,"InChI=1S/C4H8O3/c1-4(6)7-3-2-5/h5H,2-3H2,1H3",10.1016/j.fluid.2007.05.030,363.15,363.15,0,1,1,1,False,False,False
10.1016/j.fluid.2007.05.030#d5#p1,mol_4d4b5cd67503629b,"InChI=1S/C6H10O4/c1-5(7)9-3-4-10-6(2)8/h3-4H2,1-2H3",10.1016/j.fluid.2007.05.030,363.15,363.15,0,1,1,1,False,False,False
10.1016/j.fluid.2007.05.030#d6#p1,mol_3590edb9884753b9,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",10.1016/j.fluid.2007.05.030,363.15,363.15,0,1,1,1,False,False,False
10.1016/j.fluid.2007.06.001#d2#p1,mol_3fd637a4d667fe51,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",10.1016/j.fluid.2007.06.001,353.15,353.15,0,1,1,1,False,False,False
10.1016/j.fluid.2007.07.013#d2#p1,mol_8af87cc50053180a,InChI=1S/C2H6S/c1-3-2/h1-2H3,10.1016/j.fluid.2007.07.013,252.89,253.06,0.17,2,1,1,False,False,False
10.1016/j.fluid.2007.07.013#d3#p1,mol_ba47d645467f5987,"InChI=1S/C3H8S/c1-3-4-2/h3H2,1-2H3",10.1016/j.fluid.2007.07.013,272.96,293.41,20.45,3,2,1,False,False,False
10.1016/j.fluid.2007.07.013#d6#p1,mol_c187c0fbd800fefd,InChI=1S/CS2/c2-1-3,10.1016/j.fluid.2007.07.013,273.08,273.08,0,1,1,1,False,False,False
10.1016/j.fluid.2007.09.002#d1#p1,mol_024c11ca89792376,"InChI=1S/C5H12O/c1-3-4-5-6-2/h3-5H2,1-2H3",10.1016/j.fluid.2007.09.002,263.15,298.15,35,5,2,2,False,False,False
10.1016/j.fluid.2007.09.002#d2#p1,mol_6a1b88d7d4729d66,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",10.1016/j.fluid.2007.09.002,263.15,343.15,80,10,3,3,True,False,False
10.1016/j.fluid.2007.09.002#d3#p1,mol_5c9fb1beda5bb985,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H2,1-2H3",10.1016/j.fluid.2007.09.002,263.15,303.15,40,6,3,2,True,False,False
10.1016/j.fluid.2007.09.002#d4#p1,mol_542abc656d17b475,"InChI=1S/C6H10/c1-3-5-6-4-2/h3,5H2,1-2H3",10.1016/j.fluid.2007.09.002,263.15,313.15,50,7,3,2,True,False,False
10.1016/j.fluid.2007.09.014#d9#p1,mol_21a4cd711754eeed,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",10.1016/j.fluid.2007.09.014,336.18,352.13,15.95,6,2,2,False,False,False
10.1016/j.fluid.2007.11.002#d15#p1,mol_953db3858ca974a4,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,10.1016/j.fluid.2007.11.002,323.15,323.15,0,1,1,1,False,False,False
10.1016/j.fluid.2007.11.002#d9#p1,mol_8b6a2383c538f690,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",10.1016/j.fluid.2007.11.002,333.15,333.15,0,1,1,1,False,False,False
10.1016/j.fluid.2007.12.005#d3#p1,mol_538c4f0d7c4ce97e,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",10.1016/j.fluid.2007.12.005,313.15,313.15,0,1,1,1,False,False,False
10.1016/j.fluid.2008.02.001#d1#p1,mol_8568098f87e46d1f,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",10.1016/j.fluid.2008.02.001,274.3,303.2,28.9,21,5,6,False,False,False
10.1016/j.fluid.2008.02.001#d11#p1,mol_765dc30ffee1ee3b,"InChI=1S/C7H14O2/c1-7(2,3)5-6(8)9-4/h5H2,1-4H3",10.1016/j.fluid.2008.02.001,273.9,313.2,39.3,24,7,10,True,True,False
10.1016/j.fluid.2008.02.001#d2#p1,mol_2c8fece1c354948f,"InChI=1S/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3",10.1016/j.fluid.2008.02.001,274.9,311.2,36.3,25,4,9,True,True,False
10.1016/j.fluid.2008.02.001#d3#p1,mol_41edcf15887aae47,"InChI=1S/C7H14O2/c1-3-4-5-6-7(8)9-2/h3-6H2,1-2H3",10.1016/j.fluid.2008.02.001,280.7,331.4,50.7,24,5,11,True,True,False
10.1016/j.fluid.2008.02.001#d4#p1,mol_4ffa7abfb5a2e402,"InChI=1S/C8H16O2/c1-3-4-5-6-7-8(9)10-2/h3-7H2,1-2H3",10.1016/j.fluid.2008.02.001,278.1,313.2,35.1,14,5,4,True,False,False
10.1016/j.fluid.2008.02.001#d5#p1,mol_5362c7a729bf211e,"InChI=1S/C7H14O2/c1-5-7(3,4)9-6(2)8/h5H2,1-4H3",10.1016/j.fluid.2008.02.001,273.7,308.4,34.7,21,7,8,True,False,False
10.1016/j.fluid.2008.02.001#d6#p1,mol_a88bcd30dca14fa1,"InChI=1S/C8H16O2/c1-5-7(9)10-8(3,4)6-2/h5-6H2,1-4H3",10.1016/j.fluid.2008.02.001,273.9,310.4,36.5,15,4,6,True,False,False
10.1016/j.fluid.2008.02.001#d7#p1,mol_ad9956d819d81c6a,"InChI=1S/C9H18O2/c1-5-7-8(10)11-9(3,4)6-2/h5-7H2,1-4H3",10.1016/j.fluid.2008.02.001,274.5,309.5,35,21,6,7,True,True,False
10.1016/j.fluid.2008.02.001#d8#p1,mol_f805442db4c4ce39,"InChI=1S/C9H18O2/c1-5-6-7-11-8(10)9(2,3)4/h5-7H2,1-4H3",10.1016/j.fluid.2008.02.001,273.6,313.3,39.7,22,6,7,True,True,False
10.1016/j.fluid.2008.02.001#d9#p1,mol_f64a37f4f13cc997,"InChI=1S/C8H16O2/c1-6(2)5-10-8(9)7(3)4/h6-7H,5H2,1-4H3",10.1016/j.fluid.2008.02.001,274.2,319.2,45,13,5,4,True,False,False
10.1016/j.fluid.2008.02.018#d12#p1,mol_8c26cc46761de673,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,10.1016/j.fluid.2008.02.018,298.15,318.15,20,3,1,1,False,False,False
10.1016/j.fluid.2008.02.018#d3#p1,mol_77bbf943053f2531,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,10.1016/j.fluid.2008.02.018,298.15,308.15,10,2,1,1,False,False,False
10.1016/j.fluid.2008.02.018#d6#p1,mol_55b6d752028fb5df,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,10.1016/j.fluid.2008.02.018,298.15,318.15,20,3,1,1,False,False,False
10.1016/j.fluid.2008.02.021#d2#p1,mol_09d5eafc1ff3f677,"InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3",10.1016/j.fluid.2008.02.021,323.15,363.15,40,2,1,1,False,False,False
10.1016/j.fluid.2008.02.021#d4#p1,mol_55b6d752028fb5df,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,10.1016/j.fluid.2008.02.021,323.15,363.15,40,2,1,1,False,False,False
10.1016/j.fluid.2008.02.021#d6#p1,mol_b8293313f61ea38f,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",10.1016/j.fluid.2008.02.021,323.15,363.15,40,2,1,1,False,False,False
10.1016/j.fluid.2008.02.021#d8#p1,mol_5feb1fde294beccb,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",10.1016/j.fluid.2008.02.021,323.15,363.15,40,2,1,1,False,False,False
10.1016/j.fluid.2008.03.013#d1#p1,mol_c4d2e3aa2bcb522b,InChI=1S/C3H4O3/c4-3-5-1-2-6-3/h1-2H2,10.1016/j.fluid.2008.03.013,310.3,369.5,59.2,27,9,7,True,True,False
10.1016/j.fluid.2008.03.015#d1#p1,mol_77bbf943053f2531,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,10.1016/j.fluid.2008.03.015,284.865,304.82,19.955,3,1,1,False,True,False
10.1016/j.fluid.2008.03.015#d2#p1,mol_fc1211201dbfeedf,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",10.1016/j.fluid.2008.03.015,255.48,265.445,9.965,2,1,1,False,False,False
10.1016/j.fluid.2008.03.015#d3#p1,mol_4e6567a0dc6bd494,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",10.1016/j.fluid.2008.03.015,284.93,294.905,9.975,2,1,1,False,False,False
10.1016/j.fluid.2008.03.015#d4#p1,mol_896a74ad0b2a7fde,"InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",10.1016/j.fluid.2008.03.015,274.905,284.82,9.915,2,1,1,False,False,False
10.1016/j.fluid.2008.04.016#d1#p1,mol_9472915240012651,"InChI=1S/C14H22/c1-13(2,3)11-7-9-12(10-8-11)14(4,5)6/h7-10H,1-6H3",10.1016/j.fluid.2008.04.016,354.15,383.25,29.1,13,4,4,False,True,False
10.1016/j.fluid.2008.04.016#d2#p1,mol_f614151f22d755d7,"InChI=1S/C18H30/c1-16(2,3)13-10-14(17(4,5)6)12-15(11-13)18(7,8)9/h10-12H,1-9H3",10.1016/j.fluid.2008.04.016,352.15,382.65,30.5,16,4,5,True,True,False
10.1016/j.fluid.2008.04.016#d3#p1,mol_ae779d08ee6209ad,"InChI=1S/C15H24/c1-11-8-12(14(2,3)4)10-13(9-11)15(5,6)7/h8-10H,1-7H3",10.1016/j.fluid.2008.04.016,308.25,358.15,49.9,21,6,7,True,False,False
10.1016/j.fluid.2008.04.016#d4#p1,mol_ae779d08ee6209ad,"InChI=1S/C15H24/c1-11-8-12(14(2,3)4)10-13(9-11)15(5,6)7/h8-10H,1-7H3",10.1016/j.fluid.2008.04.016,379.62,439.995,60.375,10,2,5,False,False,False
10.1016/j.fluid.2008.06.004#d12#p1,mol_83a135e5c50b66c1,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",10.1016/j.fluid.2008.06.004,319.8,319.8,0,1,1,1,False,False,False
10.1016/j.fluid.2008.06.004#d3#p1,mol_e36df2c2d963afd3,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",10.1016/j.fluid.2008.06.004,308.22,309.55,1.33,2,1,1,False,False,False
10.1016/j.fluid.2008.06.004#d6#p1,mol_b4b87befe28d84ce,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",10.1016/j.fluid.2008.06.004,315.41,315.41,0,1,1,1,False,False,False
