record_id,series_id,archive_member,data_number,property_number,numvalues_index_1based,inchi,inchikey,name,formula,source_doi,source_year,property_name,property_phase,block_phases_json,method,original_property_value,original_property_value_metadata_json,state_origin,state_metadata_json,T_K,stable_liquid_gas,basic_chemistry_flags,H_kJ_mol,calorimetry_label
10.1016/j.fluid.2014.07.029#d2#p1#r5,10.1016/j.fluid.2014.07.029#d2#p1,10.1016/j.fluid.2014.07.029.json,2,1,5,InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,PYLWMHQQBFSUBP-UHFFFAOYSA-N,fluorobenzene,C6H5F,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,34.76,"{""nPropValue"":34.76,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.35},""nPropDigits"":4,""nPropNumber"":1}",variable,"{""nVarDigits"":4,""nVarNumber"":1,""nVarValue"":293.2}",293.2,True,,34.76,False
10.1016/j.fluid.2014.07.029#d2#p1#r6,10.1016/j.fluid.2014.07.029#d2#p1,10.1016/j.fluid.2014.07.029.json,2,1,6,InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,PYLWMHQQBFSUBP-UHFFFAOYSA-N,fluorobenzene,C6H5F,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,34.52,"{""nPropValue"":34.52,""CombinedUncertainty"":{""nCombExpandUncertValue"":1.35,""nCombUncertAssessNum"":1},""nPropNumber"":1,""nPropDigits"":4}",variable,"{""nVarNumber"":1,""nVarDigits"":4,""nVarValue"":298.2}",298.2,True,,34.52,False
10.1016/j.fluid.2014.07.029#d2#p1#r7,10.1016/j.fluid.2014.07.029#d2#p1,10.1016/j.fluid.2014.07.029.json,2,1,7,InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,PYLWMHQQBFSUBP-UHFFFAOYSA-N,fluorobenzene,C6H5F,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,34.27,"{""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.34},""nPropValue"":34.27,""nPropDigits"":4,""nPropNumber"":1}",variable,"{""nVarNumber"":1,""nVarDigits"":4,""nVarValue"":303.2}",303.2,True,,34.27,False
10.1016/j.fluid.2014.07.029#d4#p1#r1,10.1016/j.fluid.2014.07.029#d4#p1,10.1016/j.fluid.2014.07.029.json,4,1,1,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N,chlorobenzene,C6H5Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,42.42,"{""nPropDigits"":4,""nPropNumber"":1,""nPropValue"":42.42,""CombinedUncertainty"":{""nCombExpandUncertValue"":1.42,""nCombUncertAssessNum"":1}}",variable,"{""nVarDigits"":4,""nVarNumber"":1,""nVarValue"":274.5}",274.5,True,,42.42,False
10.1016/j.fluid.2014.07.029#d4#p1#r2,10.1016/j.fluid.2014.07.029#d4#p1,10.1016/j.fluid.2014.07.029.json,4,1,2,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N,chlorobenzene,C6H5Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,42.28,"{""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.42},""nPropValue"":42.28,""nPropDigits"":4,""nPropNumber"":1}",variable,"{""nVarNumber"":1,""nVarDigits"":4,""nVarValue"":277.3}",277.3,True,,42.28,False
10.1016/j.fluid.2014.07.029#d4#p1#r3,10.1016/j.fluid.2014.07.029#d4#p1,10.1016/j.fluid.2014.07.029.json,4,1,3,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N,chlorobenzene,C6H5Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,42.13,"{""nPropDigits"":4,""nPropNumber"":1,""CombinedUncertainty"":{""nCombExpandUncertValue"":1.42,""nCombUncertAssessNum"":1},""nPropValue"":42.13}",variable,"{""nVarDigits"":4,""nVarNumber"":1,""nVarValue"":280.3}",280.3,True,,42.13,False
10.1016/j.fluid.2014.07.029#d4#p1#r4,10.1016/j.fluid.2014.07.029#d4#p1,10.1016/j.fluid.2014.07.029.json,4,1,4,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N,chlorobenzene,C6H5Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,41.97,"{""nPropNumber"":1,""nPropDigits"":4,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.42},""nPropValue"":41.97}",variable,"{""nVarDigits"":4,""nVarNumber"":1,""nVarValue"":283.3}",283.3,True,,41.97,False
10.1016/j.fluid.2014.07.029#d4#p1#r5,10.1016/j.fluid.2014.07.029#d4#p1,10.1016/j.fluid.2014.07.029.json,4,1,5,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N,chlorobenzene,C6H5Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,41.82,"{""nPropDigits"":4,""nPropNumber"":1,""nPropValue"":41.82,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.42}}",variable,"{""nVarDigits"":4,""nVarNumber"":1,""nVarValue"":286.3}",286.3,True,,41.82,False
10.1016/j.fluid.2014.07.029#d4#p1#r6,10.1016/j.fluid.2014.07.029#d4#p1,10.1016/j.fluid.2014.07.029.json,4,1,6,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N,chlorobenzene,C6H5Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,41.67,"{""nPropDigits"":4,""nPropNumber"":1,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.42},""nPropValue"":41.67}",variable,"{""nVarValue"":289.3,""nVarDigits"":4,""nVarNumber"":1}",289.3,True,,41.67,False
10.1016/j.fluid.2014.07.029#d4#p1#r7,10.1016/j.fluid.2014.07.029#d4#p1,10.1016/j.fluid.2014.07.029.json,4,1,7,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N,chlorobenzene,C6H5Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,41.52,"{""nPropDigits"":4,""nPropNumber"":1,""nPropValue"":41.52,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.42}}",variable,"{""nVarValue"":292.2,""nVarNumber"":1,""nVarDigits"":4}",292.2,True,,41.52,False
10.1016/j.fluid.2014.07.029#d4#p1#r8,10.1016/j.fluid.2014.07.029#d4#p1,10.1016/j.fluid.2014.07.029.json,4,1,8,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N,chlorobenzene,C6H5Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,41.37,"{""nPropDigits"":4,""nPropNumber"":1,""nPropValue"":41.37,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.41}}",variable,"{""nVarNumber"":1,""nVarDigits"":4,""nVarValue"":295.2}",295.2,True,,41.37,False
10.1016/j.fluid.2014.07.029#d4#p1#r9,10.1016/j.fluid.2014.07.029#d4#p1,10.1016/j.fluid.2014.07.029.json,4,1,9,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N,chlorobenzene,C6H5Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,41.22,"{""nPropValue"":41.22,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.41},""nPropDigits"":4,""nPropNumber"":1}",variable,"{""nVarDigits"":4,""nVarNumber"":1,""nVarValue"":298.2}",298.2,True,,41.22,False
10.1016/j.fluid.2014.07.029#d4#p1#r10,10.1016/j.fluid.2014.07.029#d4#p1,10.1016/j.fluid.2014.07.029.json,4,1,10,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N,chlorobenzene,C6H5Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,41.07,"{""nPropNumber"":1,""nPropDigits"":4,""CombinedUncertainty"":{""nCombExpandUncertValue"":1.41,""nCombUncertAssessNum"":1},""nPropValue"":41.07}",variable,"{""nVarValue"":301.2,""nVarNumber"":1,""nVarDigits"":4}",301.2,True,,41.07,False
10.1016/j.fluid.2014.07.029#d4#p1#r11,10.1016/j.fluid.2014.07.029#d4#p1,10.1016/j.fluid.2014.07.029.json,4,1,11,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N,chlorobenzene,C6H5Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,40.92,"{""nPropValue"":40.92,""CombinedUncertainty"":{""nCombExpandUncertValue"":1.41,""nCombUncertAssessNum"":1},""nPropNumber"":1,""nPropDigits"":4}",variable,"{""nVarNumber"":1,""nVarDigits"":4,""nVarValue"":304.2}",304.2,True,,40.92,False
10.1016/j.fluid.2014.07.029#d4#p1#r12,10.1016/j.fluid.2014.07.029#d4#p1,10.1016/j.fluid.2014.07.029.json,4,1,12,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N,chlorobenzene,C6H5Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,40.76,"{""nPropNumber"":1,""nPropDigits"":4,""nPropValue"":40.76,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.41}}",variable,"{""nVarDigits"":4,""nVarNumber"":1,""nVarValue"":307.2}",307.2,True,,40.76,False
10.1016/j.fluid.2014.07.029#d6#p1#r1,10.1016/j.fluid.2014.07.029#d6#p1,10.1016/j.fluid.2014.07.029.json,6,1,1,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",IBSQPLPBRSHTTG-UHFFFAOYSA-N,2-chlorotoluene,C7H7Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,47.81,"{""nPropValue"":47.81,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.48},""nPropNumber"":1,""nPropDigits"":4}",variable,"{""nVarValue"":274.2,""nVarNumber"":1,""nVarDigits"":4}",274.2,True,,47.81,False
10.1016/j.fluid.2014.07.029#d6#p1#r2,10.1016/j.fluid.2014.07.029#d6#p1,10.1016/j.fluid.2014.07.029.json,6,1,2,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",IBSQPLPBRSHTTG-UHFFFAOYSA-N,2-chlorotoluene,C7H7Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,47.64,"{""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.48},""nPropValue"":47.64,""nPropDigits"":4,""nPropNumber"":1}",variable,"{""nVarDigits"":4,""nVarNumber"":1,""nVarValue"":277.1}",277.1,True,,47.64,False
10.1016/j.fluid.2014.07.029#d6#p1#r3,10.1016/j.fluid.2014.07.029#d6#p1,10.1016/j.fluid.2014.07.029.json,6,1,3,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",IBSQPLPBRSHTTG-UHFFFAOYSA-N,2-chlorotoluene,C7H7Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,47.46,"{""nPropValue"":47.46,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.47},""nPropNumber"":1,""nPropDigits"":4}",variable,"{""nVarValue"":280.3,""nVarNumber"":1,""nVarDigits"":4}",280.3,True,,47.46,False
10.1016/j.fluid.2014.07.029#d6#p1#r4,10.1016/j.fluid.2014.07.029#d6#p1,10.1016/j.fluid.2014.07.029.json,6,1,4,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",IBSQPLPBRSHTTG-UHFFFAOYSA-N,2-chlorotoluene,C7H7Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,47.3,"{""nPropValue"":47.3,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.47},""nPropNumber"":1,""nPropDigits"":4}",variable,"{""nVarDigits"":4,""nVarNumber"":1,""nVarValue"":283.2}",283.2,True,,47.3,False
10.1016/j.fluid.2014.07.029#d6#p1#r5,10.1016/j.fluid.2014.07.029#d6#p1,10.1016/j.fluid.2014.07.029.json,6,1,5,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",IBSQPLPBRSHTTG-UHFFFAOYSA-N,2-chlorotoluene,C7H7Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,47.13,"{""nPropValue"":47.13,""CombinedUncertainty"":{""nCombExpandUncertValue"":1.47,""nCombUncertAssessNum"":1},""nPropNumber"":1,""nPropDigits"":4}",variable,"{""nVarDigits"":4,""nVarNumber"":1,""nVarValue"":286.1}",286.1,True,,47.13,False
10.1016/j.fluid.2014.07.029#d6#p1#r6,10.1016/j.fluid.2014.07.029#d6#p1,10.1016/j.fluid.2014.07.029.json,6,1,6,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",IBSQPLPBRSHTTG-UHFFFAOYSA-N,2-chlorotoluene,C7H7Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,47.01,"{""nPropDigits"":4,""nPropNumber"":1,""CombinedUncertainty"":{""nCombExpandUncertValue"":1.47,""nCombUncertAssessNum"":1},""nPropValue"":47.01}",variable,"{""nVarValue"":288.2,""nVarDigits"":4,""nVarNumber"":1}",288.2,True,,47.01,False
10.1016/j.fluid.2014.07.029#d6#p1#r7,10.1016/j.fluid.2014.07.029#d6#p1,10.1016/j.fluid.2014.07.029.json,6,1,7,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",IBSQPLPBRSHTTG-UHFFFAOYSA-N,2-chlorotoluene,C7H7Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,46.84,"{""CombinedUncertainty"":{""nCombExpandUncertValue"":1.47,""nCombUncertAssessNum"":1},""nPropValue"":46.84,""nPropNumber"":1,""nPropDigits"":4}",variable,"{""nVarDigits"":4,""nVarNumber"":1,""nVarValue"":291.2}",291.2,True,,46.84,False
10.1016/j.fluid.2014.07.029#d6#p1#r8,10.1016/j.fluid.2014.07.029#d6#p1,10.1016/j.fluid.2014.07.029.json,6,1,8,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",IBSQPLPBRSHTTG-UHFFFAOYSA-N,2-chlorotoluene,C7H7Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,46.68,"{""nPropDigits"":4,""nPropNumber"":1,""nPropValue"":46.68,""CombinedUncertainty"":{""nCombExpandUncertValue"":1.47,""nCombUncertAssessNum"":1}}",variable,"{""nVarValue"":294.1,""nVarNumber"":1,""nVarDigits"":4}",294.1,True,,46.68,False
10.1016/j.fluid.2014.07.029#d6#p1#r9,10.1016/j.fluid.2014.07.029#d6#p1,10.1016/j.fluid.2014.07.029.json,6,1,9,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",IBSQPLPBRSHTTG-UHFFFAOYSA-N,2-chlorotoluene,C7H7Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,46.5,"{""nPropDigits"":4,""nPropNumber"":1,""nPropValue"":46.5,""CombinedUncertainty"":{""nCombExpandUncertValue"":1.47,""nCombUncertAssessNum"":1}}",variable,"{""nVarDigits"":4,""nVarNumber"":1,""nVarValue"":297.2}",297.2,True,,46.5,False
10.1016/j.fluid.2014.07.029#d6#p1#r10,10.1016/j.fluid.2014.07.029#d6#p1,10.1016/j.fluid.2014.07.029.json,6,1,10,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",IBSQPLPBRSHTTG-UHFFFAOYSA-N,2-chlorotoluene,C7H7Cl,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,46.5,"{""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.47},""nPropValue"":46.5,""nPropNumber"":1,""nPropDigits"":4}",variable,"{""nVarNumber"":1,""nVarDigits"":4,""nVarValue"":297.2}",297.2,True,,46.5,False
