molecule_id,inchi,name,split,component_id,approved_label_count,record_ids_json
mol_6ea740b63f4d7f2b,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3",1-bromobutane,train,grp_5dea7427c65d07c7,2,"[""rdr250199#csvline2872"", ""rdr250199#csvline2873""]"
mol_71ac04ebc05b85f5,"InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3",1-chlorohexane,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline5952""]"
mol_754b018a16a84522,"InChI=1S/C6H12O2/c1-5(7)8-6(2,3)4/h1-4H3",tert-butyl acetate,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline5854""]"
mol_77bbf943053f2531,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,"1,2-dichloroethane",train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline933""]"
mol_784ee3742c50210b,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",triethylamine,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline6452""]"
mol_7a5b68b203cc6270,"InChI=1S/C4H9I/c1-4(2)3-5/h4H,3H2,1-2H3",1-iodo-2-methylpropane,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline2939""]"
mol_7e0d1a628651aee9,"InChI=1S/C7H17N/c1-2-3-4-5-6-7-8/h2-8H2,1H3",heptylamine,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline7867""]"
mol_83a135e5c50b66c1,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",2-propanol,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline1943""]"
mol_8411a1787a17bdb0,"InChI=1S/C4H9Cl/c1-4(2)3-5/h4H,3H2,1-2H3",1-chloro-2-methylpropane,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline2914""]"
mol_8b6a2383c538f690,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",2-methyl-1-propanol,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline3140""]"
mol_969f34406f44f7e7,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",butylamine,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline3353""]"
mol_a3ec1070c8366fe2,"InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3",isopropyl acetate,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline4088""]"
mol_b4b87befe28d84ce,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",ethanol,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline1154""]"
mol_b4ec50115958b3dd,"InChI=1S/C5H13N/c1-2-3-4-5-6/h2-6H2,1H3",pentylamine,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline4585""]"
mol_b633c02df2e0c63b,"InChI=1S/C6H13I/c1-2-3-4-5-6-7/h2-6H2,1H3",1-iodohexane,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline5963""]"
mol_b8293313f61ea38f,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",1-hexanol,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline6197""]"
mol_c30b4ae49b848357,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",2-methyl-2-propanol,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline3167""]"
mol_cdcd3722df880b7b,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2,"1,3-diaminopropane",train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline2098""]"
mol_cdea8ee7666036ab,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3",dipropylamine,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline6434""]"
mol_d2d85289da26a082,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",1-chlorobutane,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline2900""]"
mol_e55299b0f2600cdb,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",ethyl acetate,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline2774""]"
mol_f485c31dbb304f3b,InChI=1S/C2H3N/c1-2-3/h1H3,acetonitrile,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline860""]"
