record_id,reference_code,primary_compound_name,primary_H,primary_deviation,primary_unit,unit_multiplier_to_kJ,primary_temperature_C,primary_temperature_K,primary_page,primary_table,calorimeter,structure_smiles_from_primary_name,thermodynamic_state,uncertainty_kind,systematic_error_bound_kJ_mol,decision,quality_flags,table_image_visually_checked
rdr250199#csvline5854,1966WAD,t-Butyl acetate,9.09,0.05,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,A,CC(C)(C)OC(=O)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True
rdr250199#csvline5846,1966WAD,Ethyl isobutyrate,9.52,0.03,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,B,CCOC(=O)C(C)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,Source purity 98.7%; retain with impurity sensitivity flag.,True
rdr250199#csvline7534,1966WAD,Di-isopropyl ketone,9.92,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,C,CC(C)C(=O)C(C)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True
rdr250199#csvline2872,1968WAD,"Butyl, X=Br",36.60,0.10,kJ/mol,1,25.00,298.15,2440,1,C_improved,CCCCBr,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,Table 1 footnote b explicitly identifies new measurement; do not merge with 1966 measurement.,True
rdr250199#csvline2900,1968WAD,"Butyl, X=Cl",33.52,0.06,kJ/mol,1,25.00,298.15,2440,1,C_improved,CCCCCl,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True
rdr250199#csvline2914,1968WAD,"Isobutyl, X=Cl",31.67,0.06,kJ/mol,1,25.00,298.15,2440,1,C_improved,CC(C)CCl,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True
rdr250199#csvline2939,1968WAD,"Isobutyl, X=I",38.83,0.02,kJ/mol,1,25.00,298.15,2440,1,C_improved,CC(C)CI,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True
rdr250199#csvline4212,1968WAD,"Pentyl, X=Cl",38.24,0.02,kJ/mol,1,25.00,298.15,2440,1,C_improved,CCCCCCl,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True
rdr250199#csvline4914,1968WAD,"Phenyl, X=Br",44.54,0.04,kJ/mol,1,25.00,298.15,2440,1,C_improved,Brc1ccccc1,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True
rdr250199#csvline4948,1968WAD,"Phenyl, X=Cl",40.97,0.06,kJ/mol,1,25.00,298.15,2440,1,C_improved,Clc1ccccc1,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True
rdr250199#csvline5952,1968WAD,"Hexyl, X=Cl",42.82,0.06,kJ/mol,1,25.00,298.15,2440,1,C_improved,CCCCCCCl,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True
rdr250199#csvline5963,1968WAD,"Hexyl, X=I",49.75,0.08,kJ/mol,1,25.00,298.15,2440,1,C_improved,CCCCCCI,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True
rdr250199#csvline933,1968WAD,"X(CH2)2X, X=Cl",35.15,0.01,kJ/mol,1,25.00,298.15,2441,2,C_improved,ClCCCl,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True
rdr250199#csvline1276,1969WAD,"1,2-Diaminoethane",44.98,0.12,kJ/mol,1,25.00,298.15,2062,1,C_improved,NCCN,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,hold_source_reported_conflict,Water content not quantified by the source method. | Source proof note reports 45.66 kJ/mol from another calorimeter versus 44.98 here; unresolved source-raised discrepancy.,True
rdr250199#csvline2098,1969WAD,"1,3-Diaminopropane",50.16,0.10,kJ/mol,1,25.00,298.15,2062,1,C_improved,NCCCN,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,Water content not quantified by the source method.,True
rdr250199#csvline3353,1969WAD,Butylamine,35.71,0.06,kJ/mol,1,25.00,298.15,2062,1,C_improved,CCCCN,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True
rdr250199#csvline4585,1969WAD,Amylamine,40.08,0.06,kJ/mol,1,25.00,298.15,2062,1,C_improved,CCCCCN,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True
rdr250199#csvline6434,1969WAD,Dipropylamine,40.04,0.06,kJ/mol,1,25.00,298.15,2062,1,C_improved,CCCNCCC,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True
rdr250199#csvline6452,1969WAD,Triethylamine,34.94,0.06,kJ/mol,1,25.00,298.15,2062,1,C_improved,CCN(CC)CC,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True
rdr250199#csvline7867,1969WAD,Heptylamine,49.96,0.08,kJ/mol,1,25.00,298.15,2062,1,C_improved,CCCCCCCN,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True
rdr250199#csvline860,1970HOW/WAD,"RCN, R=CH3",32.94,0.06,kJ/mol,1,25.00,298.15,146,1,C_improved,CC#N,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True
rdr250199#csvline1561,1970HOW/WAD,"RCN, R=CH3CH2",36.03,0.02,kJ/mol,1,25.00,298.15,146,1,C_improved,CCC#N,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True
rdr250199#csvline3852,1970HOW/WAD,"RCN, R=CH3(CH2)3",43.60,0.10,kJ/mol,1,25.00,298.15,146,1,C_improved,CCCCC#N,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True
