record_id,origin,molecule_id,inchi,name,H_kJ_mol,T_K,H_J_mol,method,source_doi,reference_codes_json,source_locator,reported_deviation,uncertainty_kind,uncertainty_confidence_percent,uncertainty_coverage_factor,experimental_temperature_range,temperature_status,thermodynamic_state,raw_row_verified,archive_XML_verified,full_primary_methods_verified,calorimetry_candidate,has_pressure_join,inside_pressure_temperature_envelope,decision,decision_reasons,independent_of_pressure_verified,training_allowed,corrected_298_field_excluded,duplicate_family,linked_record_ids_json,split,component_id,review_wave,review_date,original_H_kJ_mol,original_T_K,original_reported_deviation,original_decision,previous_v0_2_decision,review_reference_code,primary_source_url,source_review_status,reference_code,primary_compound_name,primary_H,primary_deviation,primary_unit,unit_multiplier_to_kJ,primary_temperature_C,primary_temperature_K,primary_page,primary_table,calorimeter,structure_smiles_from_primary_name,systematic_error_bound_kJ_mol,quality_flags,table_image_visually_checked,pressure_slope_ancillary_correction,reported_replicates_minimum,reported_replicates_exact,temperature_scale_note,source_role,overall_uncertainty_relation,overall_uncertainty_value_kJ_mol,ancillary_reference_notes,source_temperature_adjustment,moisture_treatment,mean_gamma_intJ_g,beta_intJ_g,estimated_relative_error_fraction,energy_conversion_factor_to_abs_J,primary_document_sha256,molar_mass_g_mol,random_standard_error_kJ_mol,standard_error_multiplier,author_estimated_total_error_kJ_mol,primary_numeric_table_verified,primary_identity_verified,measurement_or_reference_temperature,temperature_correction_applied,ideal_gas_state_conversion_applied,ancillary_apparatus_pressure_used,pressure_curve_used_to_derive_label,benchmark_pressure_used_for_label,minimum_replicates_in_reported_mean,measurement_lineage_id,reviewed_by
rdr250199#csvline12718,compendium,mol_5e1a76b3fc001a63,"InChI=1S/C13H26O2/c1-3-4-5-6-7-8-9-10-11-12-13(14)15-2/h3-12H2,1-2H3",methyl laurate,77.2,298,77200,C,,"[""1977MAN/SEL""]","RDR file 250199, CSV line 12718",0.6,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,"Bibliography resolved; primary tables, temperature corrections and liquid state not verified.",False,False,True,,[],train,grp_5dea7427c65d07c7,source_access_review,2026-09-17,77.2,298,0.6,quarantine_compendium_provenance,hold_full_text_not_obtained,1977MAN/SEL,https://doi.org/10.1016/0021-9614(77)90202-6,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline1276,compendium,mol_e9bda82626d344ab,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,ethylenediamine,44.98,298.15,44980.00,electrical_energy_and_evaporated_mass_calorimetry,10.3891/acta.chem.scand.23-2061,"[""1969WAD""]","DOI 10.3891/acta.chem.scand.23-2061; p.2062; Table 1; 1,2-Diaminoethane",0.12,twice_standard_error_of_mean_random_only,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,hold_source_reported_conflict,source_explicit_unresolved_measurement_conflict,True,False,True,,[],train,grp_5dea7427c65d07c7,wave1,2026-09-17,45,298,0.1,quarantine_compendium_provenance,hold_source_reported_conflict,1969WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_23_p2061-2064.pdf,full_primary_review,1969WAD,"1,2-Diaminoethane",44.98,0.12,kJ/mol,1,25.00,298.15,2062,1,C_improved,NCCN,,Water content not quantified by the source method. | Source proof note reports 45.66 kJ/mol from another calorimeter versus 44.98 here; unresolved source-raised discrepancy.,True,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,,f364f01785ef29c0170aa0eca30dda4c71f4c54e0a706535fc522154d7a0687a,,0.06,2,,True,True,measurement,False,False,True,False,False,5,cal_dd7ea1918f3c9ac19ec6,OpenAI Codex; no independent human sign-off
rdr250199#csvline13059,compendium,mol_30519df461efd318,"InChI=1S/C14H27N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15/h2-13H2,1H3",Myristonitrile,85.3,298,85300,C,,"[""1977STRI/SUN""]","RDR file 250199, CSV line 13059",0.5,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,Bibliographic lead resolved with matching authors and nitrile subject; primary tables not obtained.,False,False,True,,[],train,grp_5dea7427c65d07c7,source_access_review,2026-09-17,85.3,298,0.5,quarantine_compendium_provenance,hold_full_text_not_obtained,1977STRI/SUN,https://doi.org/10.1016/0021-9614(77)90223-3,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline13115,compendium,mol_71d239be146a61dd,"InChI=1S/C14H28O2/c1-3-4-5-6-7-8-9-10-11-12-13-14(15)16-2/h3-13H2,1-2H3",Methyl tridecanoate,82.7,298,82700,C,,"[""1977MAN/SEL""]","RDR file 250199, CSV line 13115",0.8,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,"Bibliography resolved; primary tables, temperature corrections and liquid state not verified.",False,False,True,,[],train,grp_5dea7427c65d07c7,source_access_review,2026-09-17,82.7,298,0.8,quarantine_compendium_provenance,hold_full_text_not_obtained,1977MAN/SEL,https://doi.org/10.1016/0021-9614(77)90202-6,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline13183,compendium,mol_a557d965b4ca95e1,"InChI=1S/C14H30O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15/h15H,2-14H2,1H3",1-tetradecanol,102.2,298,102200,C,,"[""1977MAN/SEL""]","RDR file 250199, CSV line 13183",2.3,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,"Bibliography resolved; primary tables, temperature corrections and liquid state not verified.",False,False,True,,[],train,grp_5dea7427c65d07c7,source_access_review,2026-09-17,102.2,298,2.3,quarantine_compendium_provenance,hold_full_text_not_obtained,1977MAN/SEL,https://doi.org/10.1016/0021-9614(77)90202-6,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline1561,compendium,mol_25b76921742ed7fa,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",propionitrile,36.03,298.15,36030.00,electrical_energy_and_evaporated_mass_calorimetry,10.3891/acta.chem.scand.24-0145,"[""1970HOW/WAD""]","DOI 10.3891/acta.chem.scand.24-0145; p.146; Table 1; RCN, R=CH3CH2",0.02,twice_standard_error_of_mean_random_only,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,False,approve_primary_calorimetry,primary_calorimetry_verified_with_disclosed_source_quality_limits,True,True,True,,[],train,grp_5dea7427c65d07c7,wave1,2026-09-17,36,298,0.1,quarantine_compendium_provenance,approve_primary_calorimetry,1970HOW/WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_24_p0145-0149.pdf,full_primary_review,1970HOW/WAD,"RCN, R=CH3CH2",36.03,0.02,kJ/mol,1,25.00,298.15,146,1,C_improved,CCC#N,,,True,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,,ec4a11c72a8feb401967f6babd8417132dd7e7c4f26dfe86db70399611bfcfe7,,0.01,2,,True,True,measurement,False,False,True,False,False,5,cal_9e623e06d401d35198cc,OpenAI Codex; no independent human sign-off
rdr250199#csvline1910,compendium,mol_2465ec339bda2cbb,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",1-propanol,47.321040,298.15,47321.040000,electrical_energy_and_evaporated_mass_calorimetry,10.3891/acta.chem.scand.20-0544,"[""1966WAD""]",DOI 10.3891/acta.chem.scand.20-0544; p.545; Table 1; 1-Propanol,0.083680,estimated_total_including_systematics_coverage_unspecified,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,approve_primary_calorimetry,primary_calorimetry_verified_with_disclosed_source_quality_limits,True,True,True,,[],train,grp_5dea7427c65d07c7,wave1,2026-09-17,47.3,298,0.1,quarantine_compendium_provenance,approve_primary_calorimetry,1966WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_20_p0544-0552.pdf,full_primary_review,1966WAD,1-Propanol,11.31,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CCCO,,,True,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,,ff83a8bdaad3652c26c4b681614e9713a87e7cf6874b14cd223be1e1ef58eb2c,,,,,True,True,measurement,False,False,True,False,False,5,cal_9f06d5eedb4c36812e69,OpenAI Codex; no independent human sign-off
rdr250199#csvline1943,compendium,mol_83a135e5c50b66c1,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",2-propanol,45.229040,298.15,45229.040000,electrical_energy_and_evaporated_mass_calorimetry,10.3891/acta.chem.scand.20-0544,"[""1966WAD""]",DOI 10.3891/acta.chem.scand.20-0544; p.545; Table 1; 2-Propanol,0.125520,estimated_total_including_systematics_coverage_unspecified,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,approve_primary_calorimetry,primary_calorimetry_verified_with_disclosed_source_quality_limits,True,True,True,,[],train,grp_5dea7427c65d07c7,wave1,2026-09-17,45.2,298,0.1,quarantine_compendium_provenance,approve_primary_calorimetry,1966WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_20_p0544-0552.pdf,full_primary_review,1966WAD,2-Propanol,10.81,0.03,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CC(O)C,,,True,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,,ff83a8bdaad3652c26c4b681614e9713a87e7cf6874b14cd223be1e1ef58eb2c,,,,,True,True,measurement,False,False,True,False,False,5,cal_cbea3f5b7541ad30e5be,OpenAI Codex; no independent human sign-off
rdr250199#csvline1960,compendium,mol_21a4cd711754eeed,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",2-methoxyethanol,45.17,298.15,45170.00,electrical_energy_and_evaporated_mass_calorimetry,10.3891/acta.chem.scand.25-0219,"[""1971KUS/WAD""]",DOI 10.3891/acta.chem.scand.25-0219; p.222; Table 2; 2-Methoxyethanol,0.04,twice_standard_error_of_mean_random_only,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,False,approve_primary_calorimetry,primary_calorimetry_verified_with_disclosed_source_quality_limits,True,True,True,,[],train,grp_5dea7427c65d07c7,wave2,2026-09-18,45.2,298,0.2,quarantine_compendium_provenance,quarantine_compendium_provenance,1971KUS/WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_25_p0219-0224.pdf,full_primary_review,1971KUS/WAD,2-Methoxyethanol,45.17,0.04,kJ/mol,1,25.00,298.15,222,2,Lund electrical compensation; 1966 design with later changes,COCCO,,"Measured water uptake corrected as published; 2.433 kJ/g water constant retained, not silently replaced.",True,False,6,6,Source reports Celsius; no historical scale transformation applied.,current_work_direct_calorimetry,<=,0.1,"1966 apparatus paper verified. Cited 1968 p.2434 conflicts with archive pagination; 1968 p.2438 is a plausible intended reference, not a confirmed correction.",Isothermal reported 25 C; no reference-temperature extrapolation applied.,corrected_water_condensation_and_dissolution,,,,,badc2144032f418072f0303b58f4938f8fa72f0174c6c7c08a6110688f87a976,,0.02,2,,True,True,measurement,False,False,True,False,False,6,cal_f8cbf77c4e58e6356d6d,OpenAI Codex; no independent human sign-off
rdr250199#csvline2098,compendium,mol_cdcd3722df880b7b,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2,"1,3-diaminopropane",50.16,298.15,50160.00,electrical_energy_and_evaporated_mass_calorimetry,10.3891/acta.chem.scand.23-2061,"[""1969WAD""]","DOI 10.3891/acta.chem.scand.23-2061; p.2062; Table 1; 1,3-Diaminopropane",0.10,twice_standard_error_of_mean_random_only,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,approve_primary_calorimetry,primary_calorimetry_verified_with_disclosed_source_quality_limits,True,True,True,,[],train,grp_5dea7427c65d07c7,wave1,2026-09-17,50.2,298,0.1,quarantine_compendium_provenance,approve_primary_calorimetry,1969WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_23_p2061-2064.pdf,full_primary_review,1969WAD,"1,3-Diaminopropane",50.16,0.10,kJ/mol,1,25.00,298.15,2062,1,C_improved,NCCCN,,Water content not quantified by the source method.,True,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,,f364f01785ef29c0170aa0eca30dda4c71f4c54e0a706535fc522154d7a0687a,,0.05,2,,True,True,measurement,False,False,True,False,False,5,cal_2a0892af3c77dbedb58a,OpenAI Codex; no independent human sign-off
rdr250199#csvline2683,compendium,mol_e36df2c2d963afd3,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",2-butanone,35,298,35000,C,,"[""1981GAT/STR""]","RDR file 250199, CSV line 2683",0.6,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,True,hold_abstract_only,Publisher abstract describes an effusion calorimetric cell for vaporization; numeric tables unavailable.,False,False,True,,[],train,grp_5dea7427c65d07c7,source_access_review,2026-09-17,35,298,0.6,quarantine_compendium_provenance,hold_abstract_only,1981GAT/STR,https://doi.org/10.1007/BF00653098,abstract_only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline2774,compendium,mol_e55299b0f2600cdb,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",ethyl acetate,35.145600,298.15,35145.600000,electrical_energy_and_evaporated_mass_calorimetry,10.3891/acta.chem.scand.20-0544,"[""1966WAD""]",DOI 10.3891/acta.chem.scand.20-0544; p.547; Table 3; Ethyl acetate,0.209200,estimated_total_including_systematics_coverage_unspecified,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,approve_primary_calorimetry,primary_calorimetry_verified_with_disclosed_source_quality_limits,True,True,True,,[],train,grp_5dea7427c65d07c7,wave1,2026-09-17,35.1,298,0.2,quarantine_compendium_provenance,approve_primary_calorimetry,1966WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_20_p0544-0552.pdf,full_primary_review,1966WAD,Ethyl acetate,8.40,0.05,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,A,CCOC(=O)C,,,True,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,,ff83a8bdaad3652c26c4b681614e9713a87e7cf6874b14cd223be1e1ef58eb2c,,,,,True,True,measurement,False,False,True,False,False,5,cal_5656d7b05a4d46f71d12,OpenAI Codex; no independent human sign-off
