record_id,reference_code,primary_compound_name,primary_H,primary_deviation,primary_unit,unit_multiplier_to_kJ,primary_temperature_C,primary_temperature_K,primary_page,primary_table,calorimeter,structure_smiles_from_primary_name,thermodynamic_state,uncertainty_kind,systematic_error_bound_kJ_mol,decision,quality_flags,table_image_visually_checked,review_wave,review_date,pressure_slope_ancillary_correction,reported_replicates_minimum,reported_replicates_exact,temperature_scale_note,source_role,overall_uncertainty_relation,overall_uncertainty_value_kJ_mol,ancillary_reference_notes,source_temperature_adjustment,moisture_treatment,mean_gamma_intJ_g,beta_intJ_g,estimated_relative_error_fraction,energy_conversion_factor_to_abs_J
rdr250199#csvline2873,1966WAD,1-Bromobutane,8.76,0.03,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,C,CCCCBr,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline2774,1966WAD,Ethyl acetate,8.40,0.05,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,A,CCOC(=O)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline4130,1966WAD,Propyl acetate,9.34,0.05,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,A,CCCOC(=O)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline4088,1966WAD,Isopropyl acetate,8.89,0.05,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,A,CC(C)OC(=O)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline5829,1966WAD,Butyl acetate,10.42,0.05,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,A,CCCCOC(=O)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline5854,1966WAD,t-Butyl acetate,9.09,0.05,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,A,CC(C)(C)OC(=O)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline5846,1966WAD,Ethyl isobutyrate,9.52,0.03,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,B,CCOC(=O)C(C)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,Source purity 98.7%; retain with impurity sensitivity flag.,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline7534,1966WAD,Di-isopropyl ketone,9.92,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,C,CC(C)C(=O)C(C)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline2872,1968WAD,"Butyl, X=Br",36.60,0.10,kJ/mol,1,25.00,298.15,2440,1,C_improved,CCCCBr,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,Table 1 footnote b explicitly identifies new measurement; do not merge with 1966 measurement.,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline2900,1968WAD,"Butyl, X=Cl",33.52,0.06,kJ/mol,1,25.00,298.15,2440,1,C_improved,CCCCCl,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline2914,1968WAD,"Isobutyl, X=Cl",31.67,0.06,kJ/mol,1,25.00,298.15,2440,1,C_improved,CC(C)CCl,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline2939,1968WAD,"Isobutyl, X=I",38.83,0.02,kJ/mol,1,25.00,298.15,2440,1,C_improved,CC(C)CI,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline4212,1968WAD,"Pentyl, X=Cl",38.24,0.02,kJ/mol,1,25.00,298.15,2440,1,C_improved,CCCCCCl,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline4914,1968WAD,"Phenyl, X=Br",44.54,0.04,kJ/mol,1,25.00,298.15,2440,1,C_improved,Brc1ccccc1,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline4948,1968WAD,"Phenyl, X=Cl",40.97,0.06,kJ/mol,1,25.00,298.15,2440,1,C_improved,Clc1ccccc1,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline5952,1968WAD,"Hexyl, X=Cl",42.82,0.06,kJ/mol,1,25.00,298.15,2440,1,C_improved,CCCCCCCl,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline5963,1968WAD,"Hexyl, X=I",49.75,0.08,kJ/mol,1,25.00,298.15,2440,1,C_improved,CCCCCCI,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline933,1968WAD,"X(CH2)2X, X=Cl",35.15,0.01,kJ/mol,1,25.00,298.15,2441,2,C_improved,ClCCCl,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,0.08,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline1276,1969WAD,"1,2-Diaminoethane",44.98,0.12,kJ/mol,1,25.00,298.15,2062,1,C_improved,NCCN,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,hold_source_reported_conflict,Water content not quantified by the source method. | Source proof note reports 45.66 kJ/mol from another calorimeter versus 44.98 here; unresolved source-raised discrepancy.,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline2098,1969WAD,"1,3-Diaminopropane",50.16,0.10,kJ/mol,1,25.00,298.15,2062,1,C_improved,NCCCN,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,Water content not quantified by the source method.,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline3353,1969WAD,Butylamine,35.71,0.06,kJ/mol,1,25.00,298.15,2062,1,C_improved,CCCCN,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline4585,1969WAD,Amylamine,40.08,0.06,kJ/mol,1,25.00,298.15,2062,1,C_improved,CCCCCN,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline6434,1969WAD,Dipropylamine,40.04,0.06,kJ/mol,1,25.00,298.15,2062,1,C_improved,CCCNCCC,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline6452,1969WAD,Triethylamine,34.94,0.06,kJ/mol,1,25.00,298.15,2062,1,C_improved,CCN(CC)CC,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline7867,1969WAD,Heptylamine,49.96,0.08,kJ/mol,1,25.00,298.15,2062,1,C_improved,CCCCCCCN,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline860,1970HOW/WAD,"RCN, R=CH3",32.94,0.06,kJ/mol,1,25.00,298.15,146,1,C_improved,CC#N,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline1561,1970HOW/WAD,"RCN, R=CH3CH2",36.03,0.02,kJ/mol,1,25.00,298.15,146,1,C_improved,CCC#N,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline3852,1970HOW/WAD,"RCN, R=CH3(CH2)3",43.60,0.10,kJ/mol,1,25.00,298.15,146,1,C_improved,CCCCC#N,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline1960,1971KUS/WAD,2-Methoxyethanol,45.17,0.04,kJ/mol,1,25.00,298.15,222,2,Lund electrical compensation; 1966 design with later changes,COCCO,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,"Measured water uptake corrected as published; 2.433 kJ/g water constant retained, not silently replaced.",True,wave2,2026-09-18,False,6,6,Source reports Celsius; no historical scale transformation applied.,current_work_direct_calorimetry,<=,0.1,"1966 apparatus paper verified. Cited 1968 p.2434 conflicts with archive pagination; 1968 p.2438 is a plausible intended reference, not a confirmed correction.",Isothermal reported 25 C; no reference-temperature extrapolation applied.,corrected_water_condensation_and_dissolution,,,,
rdr250199#csvline3256,1971KUS/WAD,2-Ethoxyethanol,48.21,0.05,kJ/mol,1,25.00,298.15,222,2,Lund electrical compensation; 1966 design with later changes,CCOCCO,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,Measured water uptake corrected as published; individual experimental rows not printed.,True,wave2,2026-09-18,False,8,8,Source reports Celsius; no historical scale transformation applied.,current_work_direct_calorimetry,<=,0.1,"1966 apparatus paper verified. Cited 1968 p.2434 conflicts with archive pagination; 1968 p.2438 is a plausible intended reference, not a confirmed correction.",Isothermal reported 25 C; no reference-temperature extrapolation applied.,corrected_water_condensation_and_dissolution,,,,
rdr250199#csvline4493,1971KUS/WAD,2-Propoxyethanol,52.12,0.10,kJ/mol,1,25.00,298.15,222,2,Lund electrical compensation; 1966 design with later changes,CCCOCCO,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,Water uptake reported very small; apparent and corrected enthalpy identical.,True,wave2,2026-09-18,False,7,7,Source reports Celsius; no historical scale transformation applied.,current_work_direct_calorimetry,<=,0.1,"1966 apparatus paper verified. Cited 1968 p.2434 conflicts with archive pagination; 1968 p.2438 is a plausible intended reference, not a confirmed correction.",Isothermal reported 25 C; no reference-temperature extrapolation applied.,no_material_water_uptake_correction,,,,
rdr250199#csvline4156,1970KUS/WAD,MeOCH2CH2OAc (2-methoxyethyl acetate),50.27,0.06,kJ/mol,1,25.00,298.15,2038,1,Lund electrical compensation; 1966 design with later changes,COCCOC(C)=O,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,Methoxy-compound water uptake about 0.02 percent was not corrected; overall error has no stated finite upper bound. Existing name is preserved; primary formula resolves to 2-methoxyethyl acetate by full InChI.,True,wave2,2026-09-18,False,5,5,Source reports Celsius; no historical scale transformation applied.,current_work_direct_calorimetry,>=,0.2,"1966 apparatus paper verified. Cited 1968 p.2434 conflicts with archive pagination; 1968 p.2438 is a plausible intended reference, not a confirmed correction.",Isothermal reported 25 C; no reference-temperature extrapolation applied.,known_uncorrected_water_uptake,,,,
rdr250199#csvline8926,1970KUS/WAD,BuOCH2CH2OAc (2-butoxyethyl acetate),59.54,0.04,kJ/mol,1,25.00,298.15,2038,1,Lund electrical compensation; 1966 design with later changes,CCCCOCCOC(C)=O,liquid_to_real_vapor_at_saturation,twice_standard_error_of_mean_random_only,,approve_primary_calorimetry,Source-wide hygroscopicity/systematic-error caution; printed overall uncertainty >=0.2 kJ/mol is preserved.,True,wave2,2026-09-18,False,5,5,Source reports Celsius; no historical scale transformation applied.,current_work_direct_calorimetry,>=,0.2,"1966 apparatus paper verified. Cited 1968 p.2434 conflicts with archive pagination; 1968 p.2438 is a plausible intended reference, not a confirmed correction.",Isothermal reported 25 C; no reference-temperature extrapolation applied.,hygroscopicity_caution_no_specific_correction_reported,,,,
rdr250199#csvline10004,1947OSB/GIN,n-Nonane,362.02,,US_international_J/g,computed_from_energy_factor_and_molar_mass,25.0,298.15,466,1,NBS electrical fluid calorimeter,CCCCCCCCC,liquid_to_real_vapor_at_saturation,author_estimated_relative_accuracy_no_confidence_probability,,hold_ancillary_pressure_slope_lineage,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,wave2,2026-09-18,True,3,3,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,362.04,0.02,0.001,1.000165
rdr250199#csvline11064,1947OSB/GIN,n-Decane,360.96,,US_international_J/g,computed_from_energy_factor_and_molar_mass,25.0,298.15,466,1,NBS electrical fluid calorimeter,CCCCCCCCCC,liquid_to_real_vapor_at_saturation,author_estimated_relative_accuracy_no_confidence_probability,,hold_ancillary_pressure_slope_lineage,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,wave2,2026-09-18,True,3,3,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,360.97,0.01,0.001,1.000165
rdr250199#csvline5075,1947OSB/GIN,Benzene,433.27,,US_international_J/g,computed_from_energy_factor_and_molar_mass,25.0,298.15,468,1,NBS electrical fluid calorimeter,c1ccccc1,liquid_to_real_vapor_at_saturation,author_estimated_relative_accuracy_no_confidence_probability,,hold_ancillary_pressure_slope_lineage,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,wave2,2026-09-18,True,3,3,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,433.47,0.20,0.001,1.000165
rdr250199#csvline5568,1947OSB/GIN,Cyclohexane,392.48,,US_international_J/g,computed_from_energy_factor_and_molar_mass,25.0,298.15,467,1,NBS electrical fluid calorimeter,C1CCCCC1,liquid_to_real_vapor_at_saturation,author_estimated_relative_accuracy_no_confidence_probability,,hold_ancillary_pressure_slope_lineage,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,wave2,2026-09-18,True,3,3,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,392.72,0.24,0.001,1.000165
rdr250199#csvline6038,1947OSB/GIN,n-Hexane,366.05,,US_international_J/g,computed_from_energy_factor_and_molar_mass,25.0,298.15,466,1,NBS electrical fluid calorimeter,CCCCCC,liquid_to_real_vapor_at_saturation,author_estimated_relative_accuracy_no_confidence_probability,,hold_ancillary_pressure_slope_lineage,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,wave2,2026-09-18,True,4,4,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,366.44,0.39,0.001,1.000165
rdr250199#csvline6924,1947OSB/GIN,Toluene,412.26,,US_international_J/g,computed_from_energy_factor_and_molar_mass,25.0,298.15,468,1,NBS electrical fluid calorimeter,Cc1ccccc1,liquid_to_real_vapor_at_saturation,author_estimated_relative_accuracy_no_confidence_probability,,hold_ancillary_pressure_slope_lineage,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,wave2,2026-09-18,True,3,3,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,412.41,0.15,0.001,1.000165
