original_priority,reference_code,candidate_rows,additional_unapproved_training_molecules,row_level_review_status,primary_url,caveat
39,1973GEI/QUI,4,2,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
40,1973SVO/VES,32,3,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
41,1975BER/OLO,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
42,1979KUD/KUD,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
43,1981HOS/SCO3,18,3,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
44,1981VAR/BUL,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
45,1982BYS/MAN,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
46,1982FUR/SAK,3,3,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
47,1985MAR/MAN,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
48,1986NIL/WAD,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
49,1987ATI/SAI,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
50,1988BAS/NIL,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
51,1989AN/ZHE,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
52,1990KNA/SAB,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
53,1990LEI/PIL2,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
54,1991ROZ/SAF,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
55,1991SHA/MIS,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
56,1992KOZ/KAB,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
57,1992PAP/PIM,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
58,1992SVO/KUB2,5,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
59,2000MAT/MIR,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
60,2002VAR/PAS,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
61,2003MAT/MIR,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
62,2006RIB/CAB5,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
63,2007RIC/BER,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
64,2008ROU/LIM,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
65,2009RIB/AMA,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
66,2009ZAI/PAU,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
67,2011MIR/KON,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
68,2014FRE/GOM2,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
69,2014FRE/LEI,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
