record_id,name,source_doi,compendium_T_K,primary_T_K,compendium_H_kJ_mol,primary_H_kJ_mol,difference_H_kJ_mol,compendium_deviation,primary_deviation_kJ_mol,change_basis,decision
rdr250199#csvline3167,2-methyl-2-propanol,10.3891/acta.chem.scand.20-0544,298,298.15,46.6,46.609760,0.009760,0.1,0.083680,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline3353,butylamine,10.3891/acta.chem.scand.23-2061,298,298.15,35.7,35.71,0.01,0.1,0.06,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline3852,valeronitrile,10.3891/acta.chem.scand.24-0145,298,298.15,43.6,43.60,0.00,0.1,0.10,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline3985,cyclopentanol,10.3891/acta.chem.scand.20-0544,298,298.15,57.5,57.488160,-0.011840,0.3,0.292880,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline408,methanol,10.3891/acta.chem.scand.20-0544,298,298.15,37.3,37.279440,-0.020560,0.1,0.083680,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline4088,isopropyl acetate,10.3891/acta.chem.scand.20-0544,298,298.15,37.2,37.195760,-0.004240,0.2,0.209200,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline4130,propyl acetate,10.3891/acta.chem.scand.20-0544,298,298.15,39.1,39.078560,-0.021440,0.2,0.209200,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline4212,1-chloropentane,10.3891/acta.chem.scand.22-2438,298,298.15,38.2,38.24,0.04,0.1,0.02,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline4413,1-pentanol,10.3891/acta.chem.scand.20-0544,298,298.15,56.9,56.944240,0.044240,0.2,0.167360,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline4585,pentylamine,10.3891/acta.chem.scand.23-2061,298,298.15,40.1,40.08,-0.02,0.1,0.06,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline4914,bromobenzene,10.3891/acta.chem.scand.22-2438,298,298.15,44.5,44.54,0.04,0.1,0.04,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline4948,chlorobenzene,10.3891/acta.chem.scand.22-2438,298,298.15,41,40.97,-0.03,0.1,0.06,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline5829,butyl acetate,10.3891/acta.chem.scand.20-0544,298,298.15,43.6,43.597280,-0.002720,0.2,0.209200,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline5846,ethyl isobutyrate,10.3891/acta.chem.scand.20-0544,298,298.15,39.8,39.831680,0.031680,0.1,0.125520,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline5854,tert-butyl acetate,10.3891/acta.chem.scand.20-0544,298,298.15,38,38.032560,0.032560,0.2,0.209200,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline5952,1-chlorohexane,10.3891/acta.chem.scand.22-2438,298,298.15,42.8,42.82,0.02,0.1,0.06,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline5963,1-iodohexane,10.3891/acta.chem.scand.22-2438,298,298.15,49.8,49.75,-0.05,0.1,0.08,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline6197,1-hexanol,10.3891/acta.chem.scand.20-0544,298,298.15,61.6,61.630320,0.030320,0.2,0.167360,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline6434,dipropylamine,10.3891/acta.chem.scand.23-2061,298,298.15,40,40.04,0.04,0.1,0.06,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline6452,triethylamine,10.3891/acta.chem.scand.23-2061,298,298.15,34.9,34.94,0.04,0.1,0.06,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline7534,"2,4-dimethyl-3-pentanone",10.3891/acta.chem.scand.20-0544,298,298.15,41.5,41.505280,0.005280,0.1,0.083680,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline7867,heptylamine,10.3891/acta.chem.scand.23-2061,298,298.15,50,49.96,-0.04,0.1,0.08,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline860,acetonitrile,10.3891/acta.chem.scand.24-0145,298,298.15,32.9,32.94,0.04,0.1,0.06,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline933,"1,2-dichloroethane",10.3891/acta.chem.scand.22-2438,298,298.15,35.1,35.15,0.05,0.1,0.01,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
