record_id,molecule_id,measurement_lineage_id,primary_doi,source_role,split,component_id,training_allowed
rdr250199#csvline2900,mol_d2d85289da26a082,cal_d94497bfa2ca5e3a2cbe,10.3891/acta.chem.scand.22-2438,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline2914,mol_8411a1787a17bdb0,cal_4de2fb078de3735b15ed,10.3891/acta.chem.scand.22-2438,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline2939,mol_7a5b68b203cc6270,cal_081d6e988370b46d42c2,10.3891/acta.chem.scand.22-2438,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline3074,mol_670136e04246f1d5,cal_a6143ab8ad245dfcec7e,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline3140,mol_8b6a2383c538f690,cal_aed2b505e90a9687e594,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline3167,mol_c30b4ae49b848357,cal_8a9dce82e78e4b971e9b,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline3256,mol_b482dd7c4a655efd,cal_027e087de44c81184ca2,10.3891/acta.chem.scand.25-0219,current_work_direct_calorimetry,train,grp_5dea7427c65d07c7,True
rdr250199#csvline3353,mol_969f34406f44f7e7,cal_19cf6177de14bbfb0fb8,10.3891/acta.chem.scand.23-2061,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline3852,mol_5dbb586fa38c6136,cal_182193b96983dac86742,10.3891/acta.chem.scand.24-0145,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline3985,mol_5fa3d4f920d98423,cal_27da7d9159533c8f3827,10.3891/acta.chem.scand.20-0544,primary_report_including_earlier_measurement_possible_1962_alias,train,grp_5dea7427c65d07c7,True
rdr250199#csvline408,mol_6dc54388549b234e,cal_1a63c2330a5120c2ca80,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline4088,mol_a3ec1070c8366fe2,cal_a281c3826e399f16533b,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline4130,mol_502267b1d358ae7d,cal_1785d5381863d0304138,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline4156,mol_91aa5b5594ca491a,cal_8d2bb2bdab20b28c3e8e,10.3891/acta.chem.scand.24-2037,current_work_direct_calorimetry,train,grp_5dea7427c65d07c7,True
rdr250199#csvline4212,mol_528932d2a9841ae7,cal_5d3fca784e173eb77c46,10.3891/acta.chem.scand.22-2438,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline4413,mol_435971c8aa9ce0da,cal_f01fee36467c6f1768ae,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline4493,mol_2901cf755cab0466,cal_9698df39f05a35feb0df,10.3891/acta.chem.scand.25-0219,current_work_direct_calorimetry,train,grp_5dea7427c65d07c7,True
rdr250199#csvline4585,mol_b4ec50115958b3dd,cal_0e5f3762a343863fd031,10.3891/acta.chem.scand.23-2061,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline4914,mol_2d09dab0a2be3f90,cal_ce5e96056bef6698f3ad,10.3891/acta.chem.scand.22-2438,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline4948,mol_5a4aa50dd3cafc66,cal_e072205d064fdab519c4,10.3891/acta.chem.scand.22-2438,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline5075,mol_b1820f534fb61402,cal_1caac6457c67342d83ba,10.6028/jres.039.031,current_work_calorimetry_with_pressure_slope_correction,train,grp_5dea7427c65d07c7,False
rdr250199#csvline5568,mol_e983a25bd52a944d,cal_664e8fbd9ee46230a704,10.6028/jres.039.031,current_work_calorimetry_with_pressure_slope_correction,train,grp_5dea7427c65d07c7,False
rdr250199#csvline5829,mol_39beef09cdd1ae08,cal_1d995bf541a6d68e3ac7,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline5846,mol_212f24f877214356,cal_b8ac762681f859dc14ed,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline5854,mol_754b018a16a84522,cal_25ba024f0f2cdb31a6ba,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline5952,mol_71ac04ebc05b85f5,cal_f7f0b688a248790f0f02,10.3891/acta.chem.scand.22-2438,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline5963,mol_b633c02df2e0c63b,cal_d332708bac47ff20131b,10.3891/acta.chem.scand.22-2438,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline6038,mol_2ea49b3823ebd7ad,cal_793a9d0c3228790e41db,10.6028/jres.039.031,current_work_calorimetry_with_pressure_slope_correction,train,grp_5dea7427c65d07c7,False
rdr250199#csvline6197,mol_b8293313f61ea38f,cal_9159e70d6f4e963d7c06,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline6434,mol_cdea8ee7666036ab,cal_21266d64e589d8ab2b71,10.3891/acta.chem.scand.23-2061,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline6452,mol_784ee3742c50210b,cal_718bd0d2f39fdff4c9d8,10.3891/acta.chem.scand.23-2061,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline6924,mol_b44b37c017007981,cal_ca767add63bd762a7d1c,10.6028/jres.039.031,current_work_calorimetry_with_pressure_slope_correction,train,grp_5dea7427c65d07c7,False
rdr250199#csvline7534,mol_478c9e57637d58f1,cal_6fefdbca7dee5a51de05,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline7867,mol_7e0d1a628651aee9,cal_5f7c85b0f1d30c9aec21,10.3891/acta.chem.scand.23-2061,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline8244,mol_af4829eb52c939fe,cal_239d8458fdebfa58b715,10.6028/jres.039.031,current_work_calorimetry_with_pressure_slope_correction,train,grp_5dea7427c65d07c7,False
rdr250199#csvline8257,mol_d40206d67276aa8c,cal_f41927ec8c2c6bf3ec6a,10.6028/jres.039.031,current_work_calorimetry_with_pressure_slope_correction,train,grp_5dea7427c65d07c7,False
rdr250199#csvline8284,mol_eb0e7cd1593e34a5,cal_25667773b6c685a63c70,10.6028/jres.039.031,current_work_calorimetry_with_pressure_slope_correction,train,grp_5dea7427c65d07c7,False
rdr250199#csvline8303,mol_b94bab3d5b62c755,cal_643c893ffabbb027aa9d,10.6028/jres.039.031,current_work_calorimetry_with_pressure_slope_correction,train,grp_5dea7427c65d07c7,False
rdr250199#csvline860,mol_f485c31dbb304f3b,cal_61783dda28c34b5c3682,10.3891/acta.chem.scand.24-0145,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline864,mol_f485c31dbb304f3b,secondary_1950IWA_corrected_later_quoted_1970HOW,,older_calorimetry_temperature_corrected_and_quoted,train,grp_5dea7427c65d07c7,False
rdr250199#csvline8700,mol_03247da988422eaf,cal_03797d9ff2d8d4c5eaa5,10.6028/jres.039.031,current_work_calorimetry_with_pressure_slope_correction,train,grp_5dea7427c65d07c7,False
rdr250199#csvline8926,mol_f4140df6fa2e15f2,cal_112bba92e37240e6b423,10.3891/acta.chem.scand.24-2037,current_work_direct_calorimetry,train,grp_5dea7427c65d07c7,True
rdr250199#csvline9038,mol_913f04ec4de50c29,cal_9328447af0be16a9d5c3,10.6028/jres.039.031,current_work_calorimetry_with_pressure_slope_correction,train,grp_5dea7427c65d07c7,False
rdr250199#csvline9070,mol_d395bc83f11503fd,cal_bf800409b09bd3bf1cc8,10.6028/jres.039.031,current_work_calorimetry_with_pressure_slope_correction,train,grp_5dea7427c65d07c7,False
rdr250199#csvline933,mol_77bbf943053f2531,cal_b700a53306cc386a02c3,10.3891/acta.chem.scand.22-2438,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline9607,mol_3147d9e632f76065,cal_f8b31266181693255fea,10.6028/jres.039.031,current_work_calorimetry_with_pressure_slope_correction,train,grp_5dea7427c65d07c7,False
