record_id,csv_line_1based,source_row_index,inchi,name,H_reported_kJ_mol,T_reported_K,H_corrected_298_kJ_mol,method,source_reference_codes,notes,reported_experimental_T_range,deviation_reported,original_row_json,C_candidate,source_verification_status,measurement_vs_reference_T_status,same_identity_T_H_method_reference_count,has_primary_pressure_match
rdr250199#csvline12,12,10,"InChI=1S/CBrF3/c2-1(3,4)5",bromotrifluoromethane,19.1,180.0,14.74296949440286,,['1979KUD/KUD'],,"[165.0, 216.0]",,"{"""":""10"",""Vap_temp_H"":""-4.357030505597141"",""formula"":""CBrF3"",""name"":""bromotrifluoromethane"",""Hvap_298"":""14.74296949440286"",""Cp_liq"":""99.2"",""Cp_sol"":""98.0"",""Cp_vap"":""72.9"",""Deviation"":"""",""Enthalpy"":""19.1"",""InChI"":""InChI=1S/CBrF3/c2-1(3,4)5"",""Method"":"""",""Notes"":"""",""Reference"":""['1979KUD/KUD']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""533.18"",""Temp. range (K)"":""[165.0, 216.0]"",""Tm (K)"":""180.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline13,13,11,InChI=1S/CBrFO/c2-1(3)4,carbonic bromide fluoride,22.9,241.0,20.760455400912367,A,['1987STE/MAL'],,"[197.0, 256.0]",,"{"""":""11"",""Vap_temp_H"":""-2.1395445990876305"",""formula"":""CBrFO"",""name"":""carbonic bromide fluoride"",""Hvap_298"":""20.760455400912367"",""Cp_liq"":""100.8"",""Cp_sol"":""89.4"",""Cp_vap"":""63.87"",""Deviation"":"""",""Enthalpy"":""22.9"",""InChI"":""InChI=1S/CBrFO/c2-1(3)4"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""549.29"",""Temp. range (K)"":""[197.0, 256.0]"",""Tm (K)"":""241.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline14,14,12,"InChI=1S/CBrN3O6/c2-1(3(6)7,4(8)9)5(10)11",bromotrinitromethane,47.8,326.0,50.14485070565649,"A, I","['1987STE/MAL', '1970CAR/ZIM']",,"[318.0, 335.0]",,"{"""":""12"",""Vap_temp_H"":""2.344850705656489"",""formula"":""CBrN3O6"",""name"":""bromotrinitromethane"",""Hvap_298"":""50.14485070565649"",""Cp_liq"":""240.8"",""Cp_sol"":""190.7"",""Cp_vap"":""170.235"",""Deviation"":"""",""Enthalpy"":""47.8"",""InChI"":""InChI=1S/CBrN3O6/c2-1(3(6)7,4(8)9)5(10)11"",""Method"":""A, I"",""Notes"":"""",""Reference"":""['1987STE/MAL', '1970CAR/ZIM']"",""T_high"":""5000.0"",""T_low"":""100.0"",""T_mid"":""1125.32"",""Temp. range (K)"":""[318.0, 335.0]"",""Tm (K)"":""326.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline15,15,13,"InChI=1S/CBr2F2/c2-1(3,4)5",dibromodifluoromethane,26.1,282.0,25.653080128901404,A,"['1987STE/MAL', '1959MCD/SHR', '1979KUD/KUD', '1970DYK']",,"[247.0, 297.0]",,"{"""":""13"",""Vap_temp_H"":""-0.446919871098598"",""formula"":""CBr2F2"",""name"":""dibromodifluoromethane"",""Hvap_298"":""25.653080128901404"",""Cp_liq"":""116.8"",""Cp_sol"":""104.9"",""Cp_vap"":""80.145"",""Deviation"":"""",""Enthalpy"":""26.1"",""InChI"":""InChI=1S/CBr2F2/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL', '1959MCD/SHR', '1979KUD/KUD', '1970DYK']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""438.97"",""Temp. range (K)"":""[247.0, 297.0]"",""Tm (K)"":""282.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline16,16,14,"InChI=1S/CBr2F2/c2-1(3,4)5",dibromodifluoromethane,18.6,203.0,15.451397112885795,,['1948BAN/EME'],,"[156.0, 218.0]",,"{"""":""14"",""Vap_temp_H"":""-3.1486028871142064"",""formula"":""CBr2F2"",""name"":""dibromodifluoromethane"",""Hvap_298"":""15.451397112885795"",""Cp_liq"":""116.8"",""Cp_sol"":""104.9"",""Cp_vap"":""80.145"",""Deviation"":"""",""Enthalpy"":""18.6"",""InChI"":""InChI=1S/CBr2F2/c2-1(3,4)5"",""Method"":"""",""Notes"":"""",""Reference"":""['1948BAN/EME']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""438.97"",""Temp. range (K)"":""[156.0, 218.0]"",""Tm (K)"":""203.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline17,17,15,"InChI=1S/CBr3F/c2-1(3,4)5",tribromofluoromethane,34.4,330.0,35.18859993675388,A,"['1987STE/MAL', '1948BAN/EME']",,"[315.0, 380.0]",,"{"""":""15"",""Vap_temp_H"":""0.7885999367538861"",""formula"":""CBr3F"",""name"":""tribromofluoromethane"",""Hvap_298"":""35.18859993675388"",""Cp_liq"":""134.4"",""Cp_sol"":""111.8"",""Cp_vap"":""87.38999999999999"",""Deviation"":"""",""Enthalpy"":""34.4"",""InChI"":""InChI=1S/CBr3F/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL', '1948BAN/EME']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""377.96"",""Temp. range (K)"":""[315.0, 380.0]"",""Tm (K)"":""330.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline18,18,16,"InChI=1S/CBr4/c2-1(3,4)5",carbon tetrabromide,48.3,390.0,50.460406569992834,,['1979KUD/KUD'],,"[375.0, 463.0]",,"{"""":""16"",""Vap_temp_H"":""2.1604065699928388"",""formula"":""CBr4"",""name"":""carbon tetrabromide"",""Hvap_298"":""50.460406569992834"",""Cp_liq"":""152.0"",""Cp_sol"":""118.7"",""Cp_vap"":""94.635"",""Deviation"":"""",""Enthalpy"":""48.3"",""InChI"":""InChI=1S/CBr4/c2-1(3,4)5"",""Method"":"""",""Notes"":"""",""Reference"":""['1979KUD/KUD']"",""T_high"":""5000.0"",""T_low"":""100.0"",""T_mid"":""884.17"",""Temp. range (K)"":""[375.0, 463.0]"",""Tm (K)"":""390.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline19,19,17,"InChI=1S/CBr4/c2-1(3,4)5",carbon tetrabromide,48.2,384.0,50.23403977846745,A,"['1987STE/MAL', '1947STU']",,"[369.0, 463.0]",,"{"""":""17"",""Vap_temp_H"":""2.0340397784674433"",""formula"":""CBr4"",""name"":""carbon tetrabromide"",""Hvap_298"":""50.23403977846745"",""Cp_liq"":""152.0"",""Cp_sol"":""118.7"",""Cp_vap"":""94.635"",""Deviation"":"""",""Enthalpy"":""48.2"",""InChI"":""InChI=1S/CBr4/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL', '1947STU']"",""T_high"":""5000.0"",""T_low"":""100.0"",""T_mid"":""884.17"",""Temp. range (K)"":""[369.0, 463.0]"",""Tm (K)"":""384.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline20,20,18,InChI=1S/CClFO/c2-1(3)4,carbonic chloride fluoride,22.7,196.0,18.740402673672325,A,"['1987STE/MAL', '1964FIS/BUC']",,"[165.0, 211.0]",,"{"""":""18"",""Vap_temp_H"":""-3.9595973263276747"",""formula"":""CClFO"",""name"":""carbonic chloride fluoride"",""Hvap_298"":""18.740402673672325"",""Cp_liq"":""97.1"",""Cp_sol"":""86.7"",""Cp_vap"":""61.03500000000001"",""Deviation"":"""",""Enthalpy"":""22.7"",""InChI"":""InChI=1S/CClFO/c2-1(3)4"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL', '1964FIS/BUC']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""602.16"",""Temp. range (K)"":""[165.0, 211.0]"",""Tm (K)"":""196.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline21,21,19,InChI=1S/CClFO/c2-1(3)4,carbonic chloride fluoride,22.0,192.0,17.868658471952987,,['1948EME/WOO'],,"[157.0, 227.0]",,"{"""":""19"",""Vap_temp_H"":""-4.131341528047014"",""formula"":""CClFO"",""name"":""carbonic chloride fluoride"",""Hvap_298"":""17.868658471952987"",""Cp_liq"":""97.1"",""Cp_sol"":""86.7"",""Cp_vap"":""61.03500000000001"",""Deviation"":"""",""Enthalpy"":""22.0"",""InChI"":""InChI=1S/CClFO/c2-1(3)4"",""Method"":"""",""Notes"":"""",""Reference"":""['1948EME/WOO']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""602.16"",""Temp. range (K)"":""[157.0, 227.0]"",""Tm (K)"":""192.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline22,22,20,InChI=1S/CClF2NO/c2-1(6)5(3)4,difluorocarbamoyl chloride,25.8,219.0,15.023266621363032,A,"['1987STE/MAL', '1967FRA/SHR']",,"[189.0, 234.0]",,"{"""":""20"",""Vap_temp_H"":""-10.776733378636969"",""formula"":""CClF2NO"",""name"":""difluorocarbamoyl chloride"",""Hvap_298"":""15.023266621363032"",""Cp_liq"":""133.4"",""Cp_sol"":""148.6"",""Cp_vap"":""126.03"",""Deviation"":"""",""Enthalpy"":""25.8"",""InChI"":""InChI=1S/CClF2NO/c2-1(6)5(3)4"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL', '1967FRA/SHR']"",""T_high"":""5000.0"",""T_low"":""100.0"",""T_mid"":""981.69"",""Temp. range (K)"":""[189.0, 234.0]"",""Tm (K)"":""219.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline23,23,21,"InChI=1S/CClF3/c2-1(3,4)5",chlorotrifluoromethane,16.0,283.0,15.549945193549826,A,['1987STE/MAL'],,"[268.0, 302.0]",,"{"""":""21"",""Vap_temp_H"":""-0.45005480645017437"",""formula"":""CClF3"",""name"":""chlorotrifluoromethane"",""Hvap_298"":""15.549945193549826"",""Cp_liq"":""95.5"",""Cp_sol"":""95.3"",""Cp_vap"":""70.065"",""Deviation"":"""",""Enthalpy"":""16.0"",""InChI"":""InChI=1S/CClF3/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""579.02"",""Temp. range (K)"":""[268.0, 302.0]"",""Tm (K)"":""283.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline24,24,22,"InChI=1S/CClF3/c2-1(3,4)5",chlorotrifluoromethane,17.0,170.0,12.211090720468668,A,['1987STE/MAL'],,"[133.0, 185.0]",,"{"""":""22"",""Vap_temp_H"":""-4.788909279531331"",""formula"":""CClF3"",""name"":""chlorotrifluoromethane"",""Hvap_298"":""12.211090720468668"",""Cp_liq"":""95.5"",""Cp_sol"":""95.3"",""Cp_vap"":""70.065"",""Deviation"":"""",""Enthalpy"":""17.0"",""InChI"":""InChI=1S/CClF3/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""579.02"",""Temp. range (K)"":""[133.0, 185.0]"",""Tm (K)"":""170.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline25,25,23,"InChI=1S/CClF3/c2-1(3,4)5",chlorotrifluoromethane,15.7,231.0,13.465276449313887,A,['1987STE/MAL'],,"[184.0, 246.0]",,"{"""":""23"",""Vap_temp_H"":""-2.2347235506861134"",""formula"":""CClF3"",""name"":""chlorotrifluoromethane"",""Hvap_298"":""13.465276449313887"",""Cp_liq"":""95.5"",""Cp_sol"":""95.3"",""Cp_vap"":""70.065"",""Deviation"":"""",""Enthalpy"":""15.7"",""InChI"":""InChI=1S/CClF3/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""579.02"",""Temp. range (K)"":""[184.0, 246.0]"",""Tm (K)"":""231.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline26,26,24,"InChI=1S/CClF3/c2-1(3,4)5",chlorotrifluoromethane,15.7,257.0,14.401955540362401,A,['1987STE/MAL'],,"[243.0, 271.0]",,"{"""":""24"",""Vap_temp_H"":""-1.2980444596375982"",""formula"":""CClF3"",""name"":""chlorotrifluoromethane"",""Hvap_298"":""14.401955540362401"",""Cp_liq"":""95.5"",""Cp_sol"":""95.3"",""Cp_vap"":""70.065"",""Deviation"":"""",""Enthalpy"":""15.7"",""InChI"":""InChI=1S/CClF3/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""579.02"",""Temp. range (K)"":""[243.0, 271.0]"",""Tm (K)"":""257.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline27,27,25,"InChI=1S/CClF3/c2-1(3,4)5",chlorotrifluoromethane,16.8,177.0,12.329605935307782,A,"['1987STE/MAL', '1979KUD/KUD']",,"[145.0, 192.0]",,"{"""":""25"",""Vap_temp_H"":""-4.4703940646922184"",""formula"":""CClF3"",""name"":""chlorotrifluoromethane"",""Hvap_298"":""12.329605935307782"",""Cp_liq"":""95.5"",""Cp_sol"":""95.3"",""Cp_vap"":""70.065"",""Deviation"":"""",""Enthalpy"":""16.8"",""InChI"":""InChI=1S/CClF3/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL', '1979KUD/KUD']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""579.02"",""Temp. range (K)"":""[145.0, 192.0]"",""Tm (K)"":""177.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline28,28,26,"InChI=1S/CClF3/c2-1(3,4)5",chlorotrifluoromethane,17.1,177.0,12.629605935307783,A,['1947STU'],,"[124.0, 191.0]",,"{"""":""26"",""Vap_temp_H"":""-4.4703940646922184"",""formula"":""CClF3"",""name"":""chlorotrifluoromethane"",""Hvap_298"":""12.629605935307783"",""Cp_liq"":""95.5"",""Cp_sol"":""95.3"",""Cp_vap"":""70.065"",""Deviation"":"""",""Enthalpy"":""17.1"",""InChI"":""InChI=1S/CClF3/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1947STU']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""579.02"",""Temp. range (K)"":""[124.0, 191.0]"",""Tm (K)"":""177.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline29,29,27,"InChI=1S/CClF3/c2-1(3,4)5",chlorotrifluoromethane,16.4,176.0,11.884503422172774,,['1933THO/BUR'],,"[161.0, 192.0]",,"{"""":""27"",""Vap_temp_H"":""-4.515496577827226"",""formula"":""CClF3"",""name"":""chlorotrifluoromethane"",""Hvap_298"":""11.884503422172774"",""Cp_liq"":""95.5"",""Cp_sol"":""95.3"",""Cp_vap"":""70.065"",""Deviation"":"""",""Enthalpy"":""16.4"",""InChI"":""InChI=1S/CClF3/c2-1(3,4)5"",""Method"":"""",""Notes"":"""",""Reference"":""['1933THO/BUR']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""579.02"",""Temp. range (K)"":""[161.0, 192.0]"",""Tm (K)"":""176.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline30,30,28,"InChI=1S/CClF3O/c2-6-1(3,4)5",trifluoromethyl hypochlorite,21.2,211.0,17.813924667077405,A,"['1987STE/MAL', '1969SCH/MAY']",,"[160.0, 226.0]",,"{"""":""28"",""Vap_temp_H"":""-3.3860753329225934"",""formula"":""CClF3O"",""name"":""trifluoromethyl hypochlorite"",""Hvap_298"":""17.813924667077405"",""Cp_liq"":""123.5"",""Cp_sol"":""113.8"",""Cp_vap"":""89.49000000000001"",""Deviation"":"""",""Enthalpy"":""21.2"",""InChI"":""InChI=1S/CClF3O/c2-6-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL', '1969SCH/MAY']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""524.83"",""Temp. range (K)"":""[160.0, 226.0]"",""Tm (K)"":""211.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline31,31,29,"InChI=1S/CClF3O/c2-6-1(3,4)5",trifluoromethyl hypochlorite,19.6,204.0,15.880092847492246,A,"['1987STE/MAL', '1969GOU/AND']",,"[142.0, 219.0]",,"{"""":""29"",""Vap_temp_H"":""-3.719907152507756"",""formula"":""CClF3O"",""name"":""trifluoromethyl hypochlorite"",""Hvap_298"":""15.880092847492246"",""Cp_liq"":""123.5"",""Cp_sol"":""113.8"",""Cp_vap"":""89.49000000000001"",""Deviation"":"""",""Enthalpy"":""19.6"",""InChI"":""InChI=1S/CClF3O/c2-6-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL', '1969GOU/AND']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""524.83"",""Temp. range (K)"":""[142.0, 219.0]"",""Tm (K)"":""204.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline32,32,30,"InChI=1S/CClF3O2/c2-7-6-1(3,4)5","peroxyhypochlorous acid, trifluoromethyl ester",23.4,281.0,22.8535442809893,A,"['1987STE/MAL', '1971RAT/HAR']",,"[163.0, 296.0]",,"{"""":""30"",""Vap_temp_H"":""-0.5464557190106989"",""formula"":""CClF3O2"",""name"":""peroxyhypochlorous acid, trifluoromethyl ester"",""Hvap_298"":""22.8535442809893"",""Cp_liq"":""151.5"",""Cp_sol"":""132.3"",""Cp_vap"":""108.915"",""Deviation"":"""",""Enthalpy"":""23.4"",""InChI"":""InChI=1S/CClF3O2/c2-7-6-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL', '1971RAT/HAR']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""470.7"",""Temp. range (K)"":""[163.0, 296.0]"",""Tm (K)"":""281.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
