molecule_id,inchi,source_name,source_inchikeys_json,rdkit_version,canonical_isomeric_smiles,rdkit_inchi,inchikey,connectivity_key,formula,fragments,net_formal_charge,contains_charged_atoms,radical_electrons,potential_stereo_count,unspecified_stereo_count,carboxylic_acid,exclusion_reasons,structure_eligible,physical_sample_identity_verified,component_id,split,has_calorimetry_candidate,has_cold_episode,pressure_rows_deduplicated,enthalpy_certified_count
mol_04b975dcc163284d,"InChI=1S/C11H22O2/c1-3-4-5-6-7-8-9-10-11(12)13-2/h3-10H2,1-2H3",methyl decanoate,"[""YRHYCMZPEVDGFQ-UHFFFAOYSA-N""]",2025.09.6,CCCCCCCCCC(=O)OC,"InChI=1S/C11H22O2/c1-3-4-5-6-7-8-9-10-11(12)13-2/h3-10H2,1-2H3",YRHYCMZPEVDGFQ-UHFFFAOYSA-N,YRHYCMZPEVDGFQ,C11H22O2,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,148,0
mol_05467eef06c1cfff,"InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6+/t13-,14-/m1/s1","[1R-(1R*,4E,9S*)]-4,11,11-trimethyl-8-methylene-bicyclo[7.2.0]-4-undecene","[""NPNUFJAVOOONJE-GFUGXAQUSA-N""]",2025.09.6,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,"InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6+/t13-,14-/m1/s1",NPNUFJAVOOONJE-GFUGXAQUSA-N,NPNUFJAVOOONJE,C15H24,1,0,False,0,3,0,False,,True,False,grp_05467eef06c1cfff,train,False,False,7,0
mol_05794401663d5ca6,"InChI=1S/C4H11NO2/c5-1-3-7-4-2-6/h6H,1-5H2",2-(2-aminoethoxy)ethanol,"[""GIAFURWZWWWBQT-UHFFFAOYSA-N""]",2025.09.6,NCCOCCO,"InChI=1S/C4H11NO2/c5-1-3-7-4-2-6/h6H,1-5H2",GIAFURWZWWWBQT-UHFFFAOYSA-N,GIAFURWZWWWBQT,C4H11NO2,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,31,0
mol_0598ed94e921fa46,"InChI=1S/C8H14O4/c1-11-7(9)5-3-4-6-8(10)12-2/h3-6H2,1-2H3","dimethyl 1,6-hexanedioate","[""UDSFAEKRVUSQDD-UHFFFAOYSA-N""]",2025.09.6,COC(=O)CCCCC(=O)OC,"InChI=1S/C8H14O4/c1-11-7(9)5-3-4-6-8(10)12-2/h3-6H2,1-2H3",UDSFAEKRVUSQDD-UHFFFAOYSA-N,UDSFAEKRVUSQDD,C8H14O4,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,73,0
mol_068db2316970a098,"InChI=1S/C4H10O2/c1-4(2-5)3-6/h4-6H,2-3H2,1H3","2-methyl-1,3-propanediol","[""QWGRWMMWNDWRQN-UHFFFAOYSA-N""]",2025.09.6,CC(CO)CO,"InChI=1S/C4H10O2/c1-4(2-5)3-6/h4-6H,2-3H2,1H3",QWGRWMMWNDWRQN-UHFFFAOYSA-N,QWGRWMMWNDWRQN,C4H10O2,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,31,0
mol_06fbc6cb23a1cc98,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",benzenemethanol,"[""WVDDGKGOMKODPV-UHFFFAOYSA-N""]",2025.09.6,OCc1ccccc1,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",WVDDGKGOMKODPV-UHFFFAOYSA-N,WVDDGKGOMKODPV,C7H8O,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,32,0
mol_07c782a462a50ac6,InChI=1S/C9H22N2/c10-8-6-4-2-1-3-5-7-9-11/h1-11H2,"1,9-diaminononane","[""SXJVFQLYZSNZBT-UHFFFAOYSA-N""]",2025.09.6,NCCCCCCCCCN,InChI=1S/C9H22N2/c10-8-6-4-2-1-3-5-7-9-11/h1-11H2,SXJVFQLYZSNZBT-UHFFFAOYSA-N,SXJVFQLYZSNZBT,C9H22N2,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,37,0
mol_08aab174136fca84,"InChI=1S/C4H4F4O/c1-2(9)4(7,8)3(5)6/h3H,1H3","1,1,2,2-tetrafluorobutan-3-one","[""LXHNMFBSYHBCLY-UHFFFAOYSA-N""]",2025.09.6,CC(=O)C(F)(F)C(F)F,"InChI=1S/C4H4F4O/c1-2(9)4(7,8)3(5)6/h3H,1H3",LXHNMFBSYHBCLY-UHFFFAOYSA-N,LXHNMFBSYHBCLY,C4H4F4O,1,0,False,0,0,0,False,,True,False,grp_08aab174136fca84,validation,False,False,1,0
mol_08c55f7701cab54c,"InChI=1S/C6H12O/c1-7-6-4-2-3-5-6/h6H,2-5H2,1H3",methoxycyclopentane,"[""SKTCDJAMAYNROS-UHFFFAOYSA-N""]",2025.09.6,COC1CCCC1,"InChI=1S/C6H12O/c1-7-6-4-2-3-5-6/h6H,2-5H2,1H3",SKTCDJAMAYNROS-UHFFFAOYSA-N,SKTCDJAMAYNROS,C6H12O,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,11,0
mol_08de694c9506e17b,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",phenol,"[""ISWSIDIOOBJBQZ-UHFFFAOYSA-N""]",2025.09.6,Oc1ccccc1,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,ISWSIDIOOBJBQZ,C6H6O,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,False,5,0
mol_0949fb1e476f32a8,"InChI=1S/C8H8O2/c1-7(9)10-8-5-3-2-4-6-8/h2-6H,1H3",phenyl ethanoate,"[""IPBVNPXQWQGGJP-UHFFFAOYSA-N""]",2025.09.6,CC(=O)Oc1ccccc1,"InChI=1S/C8H8O2/c1-7(9)10-8-5-3-2-4-6-8/h2-6H,1H3",IPBVNPXQWQGGJP-UHFFFAOYSA-N,IPBVNPXQWQGGJP,C8H8O2,1,0,False,0,0,0,False,,True,False,grp_0949fb1e476f32a8,validation,False,False,2,0
mol_09c6576738d86b71,InChI=1S/C8H20N2/c9-7-5-3-1-2-4-6-8-10/h1-10H2,"1,8-diaminooctane","[""PWGJDPKCLMLPJW-UHFFFAOYSA-N""]",2025.09.6,NCCCCCCCCN,InChI=1S/C8H20N2/c9-7-5-3-1-2-4-6-8-10/h1-10H2,PWGJDPKCLMLPJW-UHFFFAOYSA-N,PWGJDPKCLMLPJW,C8H20N2,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,21,0
mol_09d5eafc1ff3f677,"InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3",2-octanone,"[""ZPVFWPFBNIEHGJ-UHFFFAOYSA-N""]",2025.09.6,CCCCCCC(C)=O,"InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3",ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,ZPVFWPFBNIEHGJ,C8H16O,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,False,2,0
mol_0aa38cb71170ee29,"InChI=1S/C4H11NO/c1-5(2)3-4-6/h6H,3-4H2,1-2H3","2-(N,N-dimethylamino)ethanol","[""UEEJHVSXFDXPFK-UHFFFAOYSA-N""]",2025.09.6,CN(C)CCO,"InChI=1S/C4H11NO/c1-5(2)3-4-6/h6H,3-4H2,1-2H3",UEEJHVSXFDXPFK-UHFFFAOYSA-N,UEEJHVSXFDXPFK,C4H11NO,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,57,0
mol_0b66aee0e26773a5,"InChI=1S/C21H38O6/c1-11-21(12-25-15(22)18(2,3)4,13-26-16(23)19(5,6)7)14-27-17(24)20(8,9)10/h11-14H2,1-10H3","2-ethyl-2-((pivaloyloxy)methyl)propane-1,3-diyl bis(2,2-dimethylpropanoate)","[""SMZWZKDDBXOZOE-UHFFFAOYSA-N""]",2025.09.6,CCC(COC(=O)C(C)(C)C)(COC(=O)C(C)(C)C)COC(=O)C(C)(C)C,"InChI=1S/C21H38O6/c1-11-21(12-25-15(22)18(2,3)4,13-26-16(23)19(5,6)7)14-27-17(24)20(8,9)10/h11-14H2,1-10H3",SMZWZKDDBXOZOE-UHFFFAOYSA-N,SMZWZKDDBXOZOE,C21H38O6,1,0,False,0,0,0,False,,True,False,grp_d7c19250fe9980b5,validation,False,False,1,0
mol_0c2b699f18ff1976,InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3,dimethyl carbonate,"[""IEJIGPNLZYLLBP-UHFFFAOYSA-N""]",2025.09.6,COC(=O)OC,InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3,IEJIGPNLZYLLBP-UHFFFAOYSA-N,IEJIGPNLZYLLBP,C3H6O3,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,32,0
mol_0c4b045ac23695a8,InChI=1S/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,fluoranthene,"[""GVEPBJHOBDJJJI-UHFFFAOYSA-N""]",2025.09.6,c1ccc2c(c1)-c1cccc3cccc-2c13,InChI=1S/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,GVEPBJHOBDJJJI-UHFFFAOYSA-N,GVEPBJHOBDJJJI,C16H10,1,0,False,0,0,0,False,,True,False,grp_0c4b045ac23695a8,train,False,True,21,0
mol_0d2ad00dadcb0064,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3/t10-/m0/s1",(R)-1-methyl-4-(1-methylethenyl)cyclohexene,"[""XMGQYMWWDOXHJM-JTQLQIEISA-N""]",2025.09.6,C=C(C)[C@H]1CC=C(C)CC1,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3/t10-/m0/s1",XMGQYMWWDOXHJM-JTQLQIEISA-N,XMGQYMWWDOXHJM,C10H16,1,0,False,0,1,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,34,0
mol_0d35fd4ce34a5a65,"InChI=1S/C10H21NO/c1-4-6-8-11(10(3)12)9-7-5-2/h4-9H2,1-3H3","N,N-dibutylacetamide","[""MEXKFCWMWJZDMF-UHFFFAOYSA-N""]",2025.09.6,CCCCN(CCCC)C(C)=O,"InChI=1S/C10H21NO/c1-4-6-8-11(10(3)12)9-7-5-2/h4-9H2,1-3H3",MEXKFCWMWJZDMF-UHFFFAOYSA-N,MEXKFCWMWJZDMF,C10H21NO,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,27,0
mol_0dcdaa24497d41f8,"InChI=1S/C13H24N2/c1-2-3-4-5-6-7-8-9-11-15-12-10-14-13-15/h10,12-13H,2-9,11H2,1H3",1-decylimidazole,"[""PEPIOVUNFZBCIB-UHFFFAOYSA-N""]",2025.09.6,CCCCCCCCCCn1ccnc1,"InChI=1S/C13H24N2/c1-2-3-4-5-6-7-8-9-11-15-12-10-14-13-15/h10,12-13H,2-9,11H2,1H3",PEPIOVUNFZBCIB-UHFFFAOYSA-N,PEPIOVUNFZBCIB,C13H24N2,1,0,False,0,0,0,False,,True,False,grp_554ad3ddcfbe3579,test,False,True,30,0
mol_0eff9e7e919da986,"InChI=1S/C8H9Br/c1-6-4-3-5-7(2)8(6)9/h3-5H,1-2H3","2-bromo-1,3-dimethylbenzene","[""MYMYVYZLMUEVED-UHFFFAOYSA-N""]",2025.09.6,Cc1cccc(C)c1Br,"InChI=1S/C8H9Br/c1-6-4-3-5-7(2)8(6)9/h3-5H,1-2H3",MYMYVYZLMUEVED-UHFFFAOYSA-N,MYMYVYZLMUEVED,C8H9Br,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,14,0
mol_0f0591160b233804,InChI=1S/C11H7N/c12-8-10-6-3-5-9-4-1-2-7-11(9)10/h1-7H,1-cyanonaphthalene,"[""YJMNOKOLADGBKA-UHFFFAOYSA-N""]",2025.09.6,N#Cc1cccc2ccccc12,InChI=1S/C11H7N/c12-8-10-6-3-5-9-4-1-2-7-11(9)10/h1-7H,YJMNOKOLADGBKA-UHFFFAOYSA-N,YJMNOKOLADGBKA,C11H7N,1,0,False,0,0,0,False,,True,False,grp_0f0591160b233804,train,False,True,15,0
mol_10541e572cd04e9e,"InChI=1S/C13H28O/c1-7-8-9-10-14-13(5,6)11-12(2,3)4/h7-11H2,1-6H3","pentane, 2-pentoxy-2,4,4-trimethyl-","[""ZNFVRHLUNVCECG-UHFFFAOYSA-N""]",2025.09.6,CCCCCOC(C)(C)CC(C)(C)C,"InChI=1S/C13H28O/c1-7-8-9-10-14-13(5,6)11-12(2,3)4/h7-11H2,1-6H3",ZNFVRHLUNVCECG-UHFFFAOYSA-N,ZNFVRHLUNVCECG,C13H28O,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,False,11,0
mol_10ae2d7874bda204,"InChI=1S/C8H19N/c1-2-3-4-5-6-7-8-9/h2-9H2,1H3",1-octanamine,"[""IOQPZZOEVPZRBK-UHFFFAOYSA-N""]",2025.09.6,CCCCCCCCN,"InChI=1S/C8H19N/c1-2-3-4-5-6-7-8-9/h2-9H2,1H3",IOQPZZOEVPZRBK-UHFFFAOYSA-N,IOQPZZOEVPZRBK,C8H19N,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,31,0
mol_115984f9be727624,InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,pyrrole,"[""KAESVJOAVNADME-UHFFFAOYSA-N""]",2025.09.6,c1cc[nH]c1,InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,KAESVJOAVNADME-UHFFFAOYSA-N,KAESVJOAVNADME,C4H5N,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,True,False,7,0
mol_1196b480b8769ed3,InChI=1S/C18H14/c1-3-9-15(10-4-1)17-13-7-8-14-18(17)16-11-5-2-6-12-16/h1-14H,o-terphenyl,"[""OIAQMFOKAXHPNH-UHFFFAOYSA-N""]",2025.09.6,c1ccc(-c2ccccc2-c2ccccc2)cc1,InChI=1S/C18H14/c1-3-9-15(10-4-1)17-13-7-8-14-18(17)16-11-5-2-6-12-16/h1-14H,OIAQMFOKAXHPNH-UHFFFAOYSA-N,OIAQMFOKAXHPNH,C18H14,1,0,False,0,0,0,False,,True,False,grp_d957e784c854093b,train,False,True,22,0
mol_124c5d93a23a9e5f,"InChI=1S/C14H26O4/c1-3-5-11-17-13(15)9-7-8-10-14(16)18-12-6-4-2/h3-12H2,1-2H3",dibutyl hexanedioate,"[""XTJFFFGAUHQWII-UHFFFAOYSA-N""]",2025.09.6,CCCCOC(=O)CCCCC(=O)OCCCC,"InChI=1S/C14H26O4/c1-3-5-11-17-13(15)9-7-8-10-14(16)18-12-6-4-2/h3-12H2,1-2H3",XTJFFFGAUHQWII-UHFFFAOYSA-N,XTJFFFGAUHQWII,C14H26O4,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,9,0
mol_12e118695cfaacad,"InChI=1S/C7H18N2/c1-3-9(4-2)7-5-6-8/h3-8H2,1-2H3","N,N-diethylpropane-1,3-diamine","[""QOHMWDJIBGVPIF-UHFFFAOYSA-N""]",2025.09.6,CCN(CC)CCCN,"InChI=1S/C7H18N2/c1-3-9(4-2)7-5-6-8/h3-8H2,1-2H3",QOHMWDJIBGVPIF-UHFFFAOYSA-N,QOHMWDJIBGVPIF,C7H18N2,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,67,0
mol_12f2d4d05a0c8d09,"InChI=1S/C8H9I/c1-6-3-4-8(9)7(2)5-6/h3-5H,1-2H3","1-iodo-2,4-dimethylbenzene","[""BUNKQJAMHYKQIM-UHFFFAOYSA-N""]",2025.09.6,Cc1ccc(I)c(C)c1,"InChI=1S/C8H9I/c1-6-3-4-8(9)7(2)5-6/h3-5H,1-2H3",BUNKQJAMHYKQIM-UHFFFAOYSA-N,BUNKQJAMHYKQIM,C8H9I,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,15,0
mol_132e4cfc5e4bd727,"InChI=1S/C17H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19-2/h3-16H2,1-2H3",methyl hexadecanoate,"[""FLIACVVOZYBSBS-UHFFFAOYSA-N""]",2025.09.6,CCCCCCCCCCCCCCCC(=O)OC,"InChI=1S/C17H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19-2/h3-16H2,1-2H3",FLIACVVOZYBSBS-UHFFFAOYSA-N,FLIACVVOZYBSBS,C17H34O2,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,105,0
mol_13bbe069dee5316b,"InChI=1S/C10H9N/c1-8-6-7-9-4-2-3-5-10(9)11-8/h2-7H,1H3",2-methylquinoline,"[""SMUQFGGVLNAIOZ-UHFFFAOYSA-N""]",2025.09.6,Cc1ccc2ccccc2n1,"InChI=1S/C10H9N/c1-8-6-7-9-4-2-3-5-10(9)11-8/h2-7H,1H3",SMUQFGGVLNAIOZ-UHFFFAOYSA-N,SMUQFGGVLNAIOZ,C10H9N,1,0,False,0,0,0,False,,True,False,grp_05168514f8646cd3,test,False,True,17,0
mol_13ff42623f3cf866,"InChI=1S/C8H18O/c1-7(2)6-9-8(3,4)5/h7H,6H2,1-5H3",isobutyl tert-butyl ether,"[""UPOMCDPCTBJJDA-UHFFFAOYSA-N""]",2025.09.6,CC(C)COC(C)(C)C,"InChI=1S/C8H18O/c1-7(2)6-9-8(3,4)5/h7H,6H2,1-5H3",UPOMCDPCTBJJDA-UHFFFAOYSA-N,UPOMCDPCTBJJDA,C8H18O,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,True,True,26,0
mol_1573cefc1a63cc61,"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3",dibutyl phthalate,"[""DOIRQSBPFJWKBE-UHFFFAOYSA-N""]",2025.09.6,CCCCOC(=O)c1ccccc1C(=O)OCCCC,"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3",DOIRQSBPFJWKBE-UHFFFAOYSA-N,DOIRQSBPFJWKBE,C16H22O4,1,0,False,0,0,0,False,,True,False,grp_cd9f232caa190183,validation,False,False,15,0
mol_15c27366f9af4374,"InChI=1S/C11H16O/c1-11(2,3)12-9-10-7-5-4-6-8-10/h4-8H,9H2,1-3H3","ether, benzyl tert-butyl","[""TZGIRWVSWPFWBP-UHFFFAOYSA-N""]",2025.09.6,CC(C)(C)OCc1ccccc1,"InChI=1S/C11H16O/c1-11(2,3)12-9-10-7-5-4-6-8-10/h4-8H,9H2,1-3H3",TZGIRWVSWPFWBP-UHFFFAOYSA-N,TZGIRWVSWPFWBP,C11H16O,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,25,0
mol_16272dceff3c45bf,"InChI=1S/C3H6O2/c1-3(5)2-4/h4H,2H2,1H3",acetol,"[""XLSMFKSTNGKWQX-UHFFFAOYSA-N""]",2025.09.6,CC(=O)CO,"InChI=1S/C3H6O2/c1-3(5)2-4/h4H,2H2,1H3",XLSMFKSTNGKWQX-UHFFFAOYSA-N,XLSMFKSTNGKWQX,C3H6O2,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,20,0
mol_165439913dffe7c0,"InChI=1S/C8H14O4/c1-5(2)11-7(9)8(10)12-6(3)4/h5-6H,1-4H3",diisopropyl oxalate,"[""ITHNIFCFNUZYLQ-UHFFFAOYSA-N""]",2025.09.6,CC(C)OC(=O)C(=O)OC(C)C,"InChI=1S/C8H14O4/c1-5(2)11-7(9)8(10)12-6(3)4/h5-6H,1-4H3",ITHNIFCFNUZYLQ-UHFFFAOYSA-N,ITHNIFCFNUZYLQ,C8H14O4,1,0,False,0,0,0,False,,True,False,grp_642c5927dec37b59,validation,False,True,18,0
mol_177310732327f8e6,"InChI=1S/C11H20O4/c1-14-10(12)8-6-4-3-5-7-9-11(13)15-2/h3-9H2,1-2H3",dimethyl nonanedioate,"[""DRUKNYVQGHETPO-UHFFFAOYSA-N""]",2025.09.6,COC(=O)CCCCCCCC(=O)OC,"InChI=1S/C11H20O4/c1-14-10(12)8-6-4-3-5-7-9-11(13)15-2/h3-9H2,1-2H3",DRUKNYVQGHETPO-UHFFFAOYSA-N,DRUKNYVQGHETPO,C11H20O4,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,36,0
