molecule_a,molecule_b,kind,key,similarity
mol_efd9aec2c69162b7,mol_a05de3c299ebdca6,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8571428571428571
mol_efd9aec2c69162b7,mol_304fa968ee31b51b,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.75
mol_b29c79d05f29858b,mol_58541feb3e3ef432,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_b29c79d05f29858b,mol_c1c12a449ac15fd2,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_b29c79d05f29858b,mol_f23ee274fe9afdfa,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_5e1a76b3fc001a63,mol_6e1072b3e8e99a61,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_5e1a76b3fc001a63,mol_177310732327f8e6,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_5e1a76b3fc001a63,mol_04b975dcc163284d,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_5e1a76b3fc001a63,mol_9da490861744c9f8,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_5e1a76b3fc001a63,mol_d079a9561d9d2641,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_936b68c0e81780ff,mol_86789b7323092b84,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_936b68c0e81780ff,mol_4199743daa2b7d43,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_936b68c0e81780ff,mol_4a28f84362f8850d,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_10541e572cd04e9e,mol_77691d2337bfc619,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8636363636363636
mol_6fb93874f723608d,mol_a69950d65071f1d9,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_6fb93874f723608d,mol_4425bf195a41c22d,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_6fb93874f723608d,mol_0dcdaa24497d41f8,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_804f26f30916a635,mol_b7d29ccd815de3fe,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_804f26f30916a635,mol_acf575de292611d9,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_804f26f30916a635,mol_e62082959f534889,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_804f26f30916a635,mol_a10b91d37db2843a,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_fb304e4936922cdc,mol_2b7f8f6f183caf51,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.7894736842105263
mol_fb304e4936922cdc,mol_c4ca44c810d45377,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8947368421052632
mol_124c5d93a23a9e5f,mol_a05de3c299ebdca6,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8571428571428571
mol_124c5d93a23a9e5f,mol_01fe71f6f9ac3752,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.7727272727272727
mol_124c5d93a23a9e5f,mol_304fa968ee31b51b,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8260869565217391
mol_124c5d93a23a9e5f,mol_efd9aec2c69162b7,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.9047619047619048
mol_30519df461efd318,mol_58541feb3e3ef432,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_30519df461efd318,mol_c1c12a449ac15fd2,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_30519df461efd318,mol_f23ee274fe9afdfa,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_30519df461efd318,mol_b29c79d05f29858b,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_71d239be146a61dd,mol_6e1072b3e8e99a61,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_71d239be146a61dd,mol_177310732327f8e6,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_71d239be146a61dd,mol_04b975dcc163284d,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_71d239be146a61dd,mol_9da490861744c9f8,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_71d239be146a61dd,mol_d079a9561d9d2641,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_71d239be146a61dd,mol_5e1a76b3fc001a63,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_ef45e640776b6df4,mol_86789b7323092b84,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_ef45e640776b6df4,mol_4199743daa2b7d43,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_ef45e640776b6df4,mol_4a28f84362f8850d,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_ef45e640776b6df4,mol_936b68c0e81780ff,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_8e04cff78b5bee09,mol_757f79c7ac5d216c,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8095238095238095
mol_8e04cff78b5bee09,mol_6cab4fbead32f0ef,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_8e04cff78b5bee09,mol_fc2d93121de8a8dd,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_8e04cff78b5bee09,mol_304fa968ee31b51b,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.72
mol_8576484ee77b5757,mol_0d35fd4ce34a5a65,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8095238095238095
mol_bf39f6deed5d4b6a,mol_a3ab0bd2d4d80422,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_bf39f6deed5d4b6a,mol_58c591d9024d1c78,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_bf39f6deed5d4b6a,mol_7a77950532c8e700,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_a557d965b4ca95e1,mol_2e538f5e181d5946,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_cf8f354d990ebe29,mol_77691d2337bfc619,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8260869565217391
mol_cf8f354d990ebe29,mol_10541e572cd04e9e,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.9545454545454546
mol_3828be354437d436,mol_64e5f8dfe16d9044,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.7
mol_3828be354437d436,mol_72cc05bdc47c9de8,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_d8a68c6cf575f9d8,mol_a69950d65071f1d9,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_d8a68c6cf575f9d8,mol_4425bf195a41c22d,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_d8a68c6cf575f9d8,mol_0dcdaa24497d41f8,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_d8a68c6cf575f9d8,mol_6fb93874f723608d,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_9edff65ca060e7d5,mol_58541feb3e3ef432,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_9edff65ca060e7d5,mol_c1c12a449ac15fd2,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_9edff65ca060e7d5,mol_f23ee274fe9afdfa,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_9edff65ca060e7d5,mol_b29c79d05f29858b,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_9edff65ca060e7d5,mol_30519df461efd318,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_bace9c8b75de2210,mol_6e1072b3e8e99a61,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_bace9c8b75de2210,mol_177310732327f8e6,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_bace9c8b75de2210,mol_04b975dcc163284d,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_bace9c8b75de2210,mol_9da490861744c9f8,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_bace9c8b75de2210,mol_d079a9561d9d2641,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_bace9c8b75de2210,mol_5e1a76b3fc001a63,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_bace9c8b75de2210,mol_71d239be146a61dd,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_b5b1e7ca3cf75bf3,mol_b04b0d4c9f611351,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.95
mol_b5b1e7ca3cf75bf3,mol_ab9c0dd96a4d0ed3,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_3399c27a16597145,mol_58541feb3e3ef432,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_3399c27a16597145,mol_c1c12a449ac15fd2,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_3399c27a16597145,mol_f23ee274fe9afdfa,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_3399c27a16597145,mol_b29c79d05f29858b,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_3399c27a16597145,mol_30519df461efd318,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_3399c27a16597145,mol_9edff65ca060e7d5,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_8b35c2231ef8d146,mol_86789b7323092b84,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_8b35c2231ef8d146,mol_4199743daa2b7d43,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_8b35c2231ef8d146,mol_4a28f84362f8850d,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_8b35c2231ef8d146,mol_936b68c0e81780ff,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_8b35c2231ef8d146,mol_ef45e640776b6df4,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_e356f62a95258c32,mol_757f79c7ac5d216c,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8095238095238095
mol_e356f62a95258c32,mol_6cab4fbead32f0ef,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_e356f62a95258c32,mol_fc2d93121de8a8dd,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_e356f62a95258c32,mol_304fa968ee31b51b,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.72
mol_e356f62a95258c32,mol_8e04cff78b5bee09,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_919fb7158bc3ca7a,mol_b04b0d4c9f611351,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.95
mol_919fb7158bc3ca7a,mol_ab9c0dd96a4d0ed3,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_919fb7158bc3ca7a,mol_b5b1e7ca3cf75bf3,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_219e62ce59668eec,mol_58541feb3e3ef432,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_219e62ce59668eec,mol_c1c12a449ac15fd2,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_219e62ce59668eec,mol_f23ee274fe9afdfa,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_219e62ce59668eec,mol_b29c79d05f29858b,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_219e62ce59668eec,mol_30519df461efd318,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_219e62ce59668eec,mol_9edff65ca060e7d5,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_219e62ce59668eec,mol_3399c27a16597145,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_132e4cfc5e4bd727,mol_6e1072b3e8e99a61,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_132e4cfc5e4bd727,mol_177310732327f8e6,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_132e4cfc5e4bd727,mol_04b975dcc163284d,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_132e4cfc5e4bd727,mol_9da490861744c9f8,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_132e4cfc5e4bd727,mol_d079a9561d9d2641,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_132e4cfc5e4bd727,mol_5e1a76b3fc001a63,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_132e4cfc5e4bd727,mol_71d239be146a61dd,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_132e4cfc5e4bd727,mol_bace9c8b75de2210,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_f614151f22d755d7,mol_ae779d08ee6209ad,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.7333333333333333
mol_e43e3124216bdf57,mol_a05de3c299ebdca6,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8181818181818182
mol_e43e3124216bdf57,mol_01fe71f6f9ac3752,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.7391304347826086
mol_e43e3124216bdf57,mol_304fa968ee31b51b,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8695652173913043
mol_e43e3124216bdf57,mol_efd9aec2c69162b7,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8636363636363636
mol_e43e3124216bdf57,mol_124c5d93a23a9e5f,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.9523809523809523
mol_7adb2b6d969696ae,mol_6e1072b3e8e99a61,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_7adb2b6d969696ae,mol_177310732327f8e6,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_7adb2b6d969696ae,mol_04b975dcc163284d,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_7adb2b6d969696ae,mol_9da490861744c9f8,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_7adb2b6d969696ae,mol_d079a9561d9d2641,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_7adb2b6d969696ae,mol_5e1a76b3fc001a63,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_7adb2b6d969696ae,mol_71d239be146a61dd,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_7adb2b6d969696ae,mol_bace9c8b75de2210,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_7adb2b6d969696ae,mol_132e4cfc5e4bd727,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_54948f46fab8b549,mol_757f79c7ac5d216c,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8095238095238095
mol_54948f46fab8b549,mol_6cab4fbead32f0ef,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_54948f46fab8b549,mol_fc2d93121de8a8dd,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_54948f46fab8b549,mol_304fa968ee31b51b,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.72
mol_54948f46fab8b549,mol_8e04cff78b5bee09,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_54948f46fab8b549,mol_e356f62a95258c32,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_f991f1ca93072465,mol_1573cefc1a63cc61,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.78125
mol_bbb0421bb336b7e6,mol_6e1072b3e8e99a61,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_bbb0421bb336b7e6,mol_177310732327f8e6,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_bbb0421bb336b7e6,mol_04b975dcc163284d,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_bbb0421bb336b7e6,mol_9da490861744c9f8,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_bbb0421bb336b7e6,mol_d079a9561d9d2641,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_bbb0421bb336b7e6,mol_5e1a76b3fc001a63,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_bbb0421bb336b7e6,mol_71d239be146a61dd,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_bbb0421bb336b7e6,mol_bace9c8b75de2210,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_bbb0421bb336b7e6,mol_132e4cfc5e4bd727,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_bbb0421bb336b7e6,mol_7adb2b6d969696ae,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_54f775b9989c3033,mol_a3ab0bd2d4d80422,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_54f775b9989c3033,mol_58c591d9024d1c78,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_54f775b9989c3033,mol_7a77950532c8e700,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_54f775b9989c3033,mol_bf39f6deed5d4b6a,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_b859097b55ec40b9,mol_a3ab0bd2d4d80422,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_b859097b55ec40b9,mol_58c591d9024d1c78,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_b859097b55ec40b9,mol_7a77950532c8e700,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_b859097b55ec40b9,mol_bf39f6deed5d4b6a,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_b859097b55ec40b9,mol_54f775b9989c3033,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_f46d941ea8c759da,mol_da7d35d05fee4096,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.9
mol_6fb10df1545ca2d8,mol_a3ab0bd2d4d80422,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_6fb10df1545ca2d8,mol_58c591d9024d1c78,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_6fb10df1545ca2d8,mol_7a77950532c8e700,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_6fb10df1545ca2d8,mol_bf39f6deed5d4b6a,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_6fb10df1545ca2d8,mol_54f775b9989c3033,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_6fb10df1545ca2d8,mol_b859097b55ec40b9,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_b73eb28e83f057b0,mol_a3ab0bd2d4d80422,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_b73eb28e83f057b0,mol_58c591d9024d1c78,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_b73eb28e83f057b0,mol_7a77950532c8e700,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_b73eb28e83f057b0,mol_bf39f6deed5d4b6a,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_b73eb28e83f057b0,mol_54f775b9989c3033,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
